Year	antonio fazio	fazio	azeglio ciampi	dukakis	pete wilson	michael dukakis	morihiro	ciampi	bill clinton	helmut schlesinger
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.215059	0.000000	0.000000	0.000000	0.000000	0.000000	0.420992	0.000000	0.000000
1984	0.000000	0.060901	0.000000	0.000000	0.000000	0.000000	0.000000	0.270812	0.000000	0.000000
1985	0.000000	0.151173	0.000000	0.000000	0.000000	0.000000	0.000000	0.298719	0.000000	0.000000
1986	0.000000	0.154025	0.000000	0.000000	0.000000	0.000000	0.000000	0.255395	0.000000	0.000000
1987	0.000000	0.249571	0.000000	0.543121	0.000000	0.000000	0.000000	0.286289	0.000000	0.000000
1988	0.000000	0.062481	0.000000	0.426275	0.000000	0.713746	0.000000	0.272386	0.000000	0.000000
1989	0.000000	-0.000114	0.000000	0.317128	0.000000	0.000000	0.000000	0.371293	0.000000	0.000000
1990	0.140938	0.087991	0.000000	0.470821	0.000000	0.000000	0.000000	0.291171	0.000000	0.000000
1991	0.262432	0.060312	0.464008	0.150218	0.000000	0.000000	0.000000	0.202353	0.404906	0.443273
1992	0.206855	0.112353	0.749502	0.411001	0.685153	0.000000	0.000000	0.314895	0.694653	0.691440
1993	0.819620	0.274186	0.000000	0.311520	0.000000	0.000000	0.439019	0.272492	0.380847	0.000000
1994	0.730752	0.291933	0.000000	0.149839	0.760180	0.000000	0.710948	0.406574	0.551698	0.000000
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.320079	0.051964	0.000000	0.239271	0.300379	0.000000	0.000000	0.138065	0.215832	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
