Year	ambiente ugo cavallera	assessoere	agricoltura franco vallet	industria gilberto pichetto	ecologia	ambiente riccardo revello	ambiente ennio negri	assesore	mario viano	assessore
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.000000	0.000000	0.000000	0.400856	0.000000	0.000000	0.488305	0.000000	0.420750
1984	0.000000	0.000000	0.000000	0.000000	0.522110	0.000000	0.000000	0.566107	0.000000	0.461339
1985	0.000000	0.000000	0.000000	0.000000	0.585375	0.000000	0.000000	0.743657	0.000000	0.616142
1986	0.000000	0.767929	0.000000	0.000000	0.678630	0.000000	0.000000	0.784854	0.000000	0.700431
1987	0.000000	0.000000	0.000000	0.000000	0.546308	0.000000	0.000000	0.712895	0.096156	0.601427
1988	0.000000	0.000000	0.000000	0.000000	0.471335	0.000000	0.000000	0.650339	0.000000	0.537499
1989	0.000000	0.000000	0.000000	0.000000	0.606286	0.000000	0.000000	0.713916	0.000000	0.606781
1990	0.000000	0.000000	0.000000	0.000000	0.663072	0.000000	0.000000	0.833316	0.000000	0.750274
1991	0.000000	0.000000	0.000000	0.000000	0.553174	0.000000	0.000000	0.813304	0.000000	0.718946
1992	0.000000	0.000000	0.000000	0.000000	0.706465	0.000000	0.000000	0.688346	0.000000	0.767569
1993	0.000000	0.000000	0.724480	0.000000	0.517161	0.000000	0.000000	0.697759	0.000000	0.676223
1994	0.000000	0.000000	0.802689	0.000000	0.619536	0.000000	0.000000	0.804149	0.000000	0.762843
1995	0.000000	0.000000	0.563324	0.000000	0.571740	0.000000	0.000000	0.605188	0.508337	0.808076
1996	0.668666	0.000000	0.746876	0.000000	0.562683	0.000000	0.587354	0.758284	0.344352	0.749444
1997	0.784349	0.000000	0.785460	0.000000	0.578976	0.000000	0.000000	0.771950	0.440066	0.768565
1998	0.518767	0.000000	0.521098	0.510399	0.514704	0.000000	0.758208	0.719815	0.389420	0.762864
1999	0.467416	0.000000	0.412941	0.762299	0.516988	0.000000	0.536330	0.788227	0.404632	0.798428
2000	0.000000	0.000000	0.000000	0.000000	0.596651	0.000000	0.000000	0.633025	0.430413	0.688942
2001	0.000000	0.000000	0.000000	0.000000	0.558112	0.000000	0.000000	0.694475	0.580401	0.780934
2002	0.586188	0.000000	0.000000	0.658770	0.660439	0.669158	0.662898	0.509775	0.409953	0.727561
2003	0.000000	0.000000	0.000000	0.623554	0.585506	0.000000	0.000000	0.000000	0.755542	0.719762
2004	0.000000	0.000000	0.000000	0.000000	0.455279	0.000000	0.000000	0.000000	0.596860	0.658262
2005	0.000000	0.000000	0.000000	0.000000	0.403863	0.761242	0.000000	0.567070	0.571832	0.592681
