Year	fausto bertinotti	marco follini	stato powell	vincenzo chieppa	agostino chiglia	uilm	franco mirabelli	deids	carlo pucci	pagnozzi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.555409	0.490933	0.493358	0.375887	0.511394	0.155439	0.000000	0.410669	0.000000	0.233533
2003	0.821630	0.856471	0.793936	0.602348	0.686203	0.415603	0.000000	0.594727	0.745875	0.623845
2004	0.702048	0.767977	0.625451	0.788169	0.467856	0.244046	0.000000	0.757119	0.766659	0.276062
2005	0.687405	0.646670	0.000000	0.559588	0.785890	0.196861	0.767965	0.651248	0.000000	0.394842
