Year	roberto gota	gipo farassino	giorgio airaudo	giorgio balzoni	emilio zenoni	ds piero fassino	martinazzoli	gianfranco fini	daniele capezzone	mino martinazzoli
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.000000	0.631325	0.580305	0.748581	0.000000	0.000000	0.346952	0.729628	0.000000	0.718750
1994	0.000000	0.793287	0.000000	0.568085	0.000000	0.000000	0.342513	0.718894	0.000000	0.513395
1995	0.000000	0.562100	0.000000	0.000000	0.000000	0.000000	0.237419	0.530089	0.000000	0.000000
1996	0.000000	0.590580	0.000000	0.641977	0.000000	0.000000	0.326112	0.273031	0.000000	0.000000
1997	0.000000	0.000000	0.486990	0.000000	0.740524	0.000000	0.278547	0.000000	0.000000	0.000000
1998	0.000000	0.000000	0.559191	0.000000	0.000000	0.000000	0.342960	0.000000	0.000000	0.000000
1999	0.000000	0.000000	0.368827	0.000000	0.000000	0.000000	0.341095	0.547236	0.000000	0.345472
2000	0.000000	0.000000	0.474153	0.000000	0.000000	0.000000	0.460444	0.000000	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.458946	0.383349	0.000000	0.720308	0.000000
2002	0.772851	0.000000	0.657217	0.000000	0.000000	0.661844	0.398690	0.000000	0.566944	0.000000
2003	0.851818	0.000000	0.753475	0.000000	0.000000	0.727704	0.384377	0.000000	0.680767	0.000000
2004	0.776100	0.354511	0.591394	0.000000	0.000000	0.636502	0.476647	0.000000	0.528331	0.000000
2005	0.419418	0.000000	0.436252	0.000000	0.000000	0.310747	0.267866	0.000000	0.307365	0.000000
