Year	pasquale mileto	cesare negri	daniela borghi	devoto	prowisiero	elio novara	brunetti	barolo	tino ferrarotti	rosalia aglietta
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.509271	0.000000	0.297399	0.380240	0.000000	0.265170	0.171221	0.000000	0.000000
1992	0.819869	0.809914	0.000000	0.217509	0.414737	0.000000	0.183122	0.056023	0.000000	0.788099
1993	0.607287	0.000000	0.797183	0.147575	0.368826	0.794765	0.355519	0.112201	0.701579	0.000000
1994	0.688943	0.000000	0.000000	0.270086	0.000000	0.629888	0.322099	0.026800	0.788110	0.000000
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.000000	0.000000	0.000000	0.120827	0.000000	0.000000	0.367308	0.055544	0.000000	0.000000
1998	0.000000	0.000000	0.295592	0.086068	0.000000	0.000000	0.227363	-0.014742	0.000000	0.000000
1999	0.000000	0.000000	0.000000	-0.035814	0.000000	0.000000	0.035814	0.046034	0.000000	0.000000
2000	0.000000	0.000000	0.000000	0.081457	0.000000	0.000000	0.131873	0.113800	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.003258	0.000000	0.000000	0.049873	-0.092574	0.000000	0.000000
2002	0.000000	0.000000	0.000000	0.035041	0.000000	0.000000	0.157330	0.174506	0.000000	0.000000
2003	0.000000	0.000000	0.000000	0.145628	0.000000	0.000000	0.282980	0.108074	0.000000	0.000000
2004	0.000000	0.000000	0.000000	0.024625	0.000000	0.000000	0.263410	0.152488	0.000000	0.000000
2005	0.000000	0.000000	0.000000	0.099045	0.000000	0.000000	0.209542	-0.074832	0.000000	0.000000
