Year	810971	marri	49.4	﻿occhetto	r0que	255.517	b0nera	vizzini	667.000.000	3355651108
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.105196	0.499233	0.224848	0.000000	0.000000	0.000000	0.103804	0.000000	0.000000
1992	0.000000	0.324475	0.619471	0.329240	0.000000	0.000000	0.000000	0.224042	0.000000	0.000000
1993	0.000000	0.104314	0.000000	0.412622	0.000000	0.000000	0.000000	0.401491	0.000000	0.000000
1994	0.000000	0.000000	0.000000	0.388917	0.000000	0.000000	0.000000	0.432142	0.000000	0.000000
1995	0.000000	0.114778	0.000000	0.320054	0.000000	0.000000	0.000000	0.059809	0.000000	0.000000
1996	0.000000	0.104356	0.000000	0.000000	0.000000	0.000000	0.000000	0.260150	0.000000	0.000000
1997	0.367527	0.252568	0.000000	0.338649	0.000000	0.000000	0.000000	0.339285	0.000000	0.000000
1998	0.000000	0.126318	0.000000	0.321843	0.000000	0.000000	0.000000	0.034032	0.000000	0.000000
1999	0.000000	0.144027	0.000000	0.000000	0.000000	0.000000	0.000000	0.148574	0.000000	0.000000
2000	0.344797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2001	0.821567	0.815821	0.803809	0.803673	0.800090	0.799684	0.796735	0.306370	0.792124	0.791549
2002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.087512	0.408651	0.000000	0.000000
2003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.235024	0.000000	0.000000
2004	0.000000	0.000000	0.000000	0.134327	0.000000	0.000000	0.000000	0.248111	0.000000	0.000000
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
