Year	gianfranco maggi	gianluigi mariani	giovanni tantillo	bruno vespa	aca	anaborapi	luciano la tona	giuseppe martelli	lorenzo bizioli	asp
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.000000	0.000000	0.000000	0.820460	0.046025	0.154982	0.000000	0.416272	0.000000	0.113131
1993	0.000000	0.000000	0.000000	0.611498	0.194416	0.081854	0.000000	0.432341	0.000000	0.154125
1994	0.000000	0.000000	0.000000	0.351329	0.229511	0.241913	0.000000	0.621301	0.000000	0.135414
1995	0.000000	0.000000	0.000000	0.000000	-0.043331	0.054915	0.000000	0.541849	0.000000	0.205629
1996	0.000000	0.000000	0.697828	0.000000	0.113412	0.116421	0.000000	0.575251	0.000000	0.120511
1997	0.400105	0.000000	0.826272	0.000000	0.162683	0.282259	0.000000	0.527957	0.000000	0.107256
1998	0.000000	0.000000	0.670207	0.000000	0.194181	0.277296	0.000000	0.656840	0.000000	0.133353
1999	0.374145	0.000000	0.000000	0.000000	0.047270	0.273613	0.000000	0.525749	0.000000	0.132181
2000	0.000000	0.000000	0.000000	0.000000	-0.042535	0.246984	0.000000	0.395799	0.000000	0.086915
2001	0.000000	0.000000	0.000000	0.000000	0.319059	0.261186	0.395889	0.579373	0.000000	0.117549
2002	0.830646	0.828693	0.000000	0.000000	0.291533	0.372714	0.811143	0.802844	0.800245	0.169710
2003	0.000000	0.000000	0.000000	0.000000	0.191679	0.434425	0.000000	0.504834	0.000000	0.185723
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
