Year	walter sericano	luigi liccardi	maurizio tropeano	luciano ponzetti	massaglia	giuseppe gamba	walter vacchino	beppe lodi	paolo nassano	vallet
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.391933	0.000000	0.000000	0.000000	0.208397	0.000000	0.000000	0.260700	0.000000	0.184139
1994	0.312647	0.000000	0.000000	0.000000	0.239290	0.000000	0.000000	0.222777	0.327267	0.230903
1995	0.465883	0.000000	0.503913	0.000000	0.076834	0.515993	0.231098	0.376410	0.315847	0.226647
1996	0.809260	0.000000	0.804211	0.000000	0.143494	0.779215	0.776079	0.708036	0.773121	0.245737
1997	0.000000	0.000000	0.631910	0.000000	0.341122	0.579457	0.536363	0.000000	0.545441	0.263710
1998	0.000000	0.000000	0.424059	0.373219	-0.009205	0.450111	0.493973	0.000000	0.456736	0.173901
1999	0.000000	0.000000	0.538189	0.628707	0.207204	0.509278	0.561981	0.000000	0.449959	0.214237
2000	0.000000	0.000000	0.000000	0.442048	0.303270	0.373607	0.000000	0.000000	0.621599	0.228273
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.000000	0.000000	0.287772	0.472829	0.254488	0.454735	0.000000	0.455975	0.000000	0.342178
2003	0.000000	0.806149	0.000000	0.684529	0.000000	0.505697	0.000000	0.773990	0.000000	0.202752
2004	0.000000	0.611815	0.000000	0.796217	0.464613	0.572843	0.000000	0.701532	0.000000	0.000000
2005	0.000000	0.000000	0.000000	0.000000	0.447352	0.000000	0.000000	0.000000	0.000000	0.369847
