Year	paola	giuliana	re biscottino	federica di grecia	mompracem	maria carolina	federica	giuliana d' olanda	maria teresa	tonga
1948	0.204427	0.474642	0.000000	0.000000	0.000000	0.000000	0.521513	0.000000	0.000000	0.000000
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.231042	0.508278	0.000000	0.000000	0.000000	0.000000	0.486774	0.000000	0.000000	0.000000
1951	0.300784	0.429225	0.000000	0.000000	0.000000	0.000000	0.477980	0.000000	0.000000	0.000000
1952	0.198419	0.225329	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1953	0.114850	0.452778	0.000000	0.638586	0.000000	0.000000	0.700714	0.714280	0.000000	0.763748
1954	0.205021	0.440712	0.000000	0.000000	0.000000	0.000000	0.661628	0.804050	0.000000	0.000000
1955	0.159639	0.438116	0.000000	0.000000	0.000000	0.000000	0.548050	0.000000	0.000000	0.000000
1956	0.205767	0.474805	0.000000	0.000000	0.000000	0.000000	0.499364	0.785598	0.000000	0.000000
1957	0.068915	0.154437	0.000000	0.729724	0.202700	0.000000	0.431897	0.000000	0.000000	0.000000
1958	0.210577	0.255490	0.000000	0.000000	0.000000	0.000000	0.391979	0.676501	0.000000	0.177119
1959	0.353552	0.333908	0.000000	0.000000	0.000000	0.000000	0.557411	0.753363	0.000000	0.087788
1960	0.324769	0.297616	0.000000	0.000000	0.000000	0.770362	0.391658	0.813705	0.125126	0.000000
1961	0.302795	0.371046	0.000000	0.000000	0.000000	0.000000	0.492840	0.000000	0.000000	0.000000
1962	0.221896	0.459671	0.000000	0.000000	0.000000	0.000000	0.523816	0.795078	0.763928	0.000000
1963	0.303080	0.275850	0.000000	0.816971	0.247339	0.000000	0.478783	0.000000	0.000000	0.019954
1964	0.366036	0.536389	0.000000	0.000000	0.096331	0.000000	0.603998	0.779147	0.000000	0.000000
1965	0.255784	0.549193	0.000000	0.000000	0.000000	0.000000	0.627123	0.787139	0.000000	0.000000
1966	0.271741	0.408383	0.000000	0.000000	0.042865	0.000000	0.192129	0.000000	0.000000	0.004194
1967	0.176106	0.166531	0.000000	0.000000	0.154543	0.000000	0.647466	0.000000	0.000000	0.000000
1968	0.213789	0.301492	0.000000	0.000000	0.024536	0.000000	0.200524	0.000000	0.000000	0.000000
1969	0.232682	0.224941	0.000000	0.000000	0.000000	0.000000	0.317597	0.000000	0.000000	0.000000
1970	0.100398	0.327641	0.000000	0.000000	0.225997	0.000000	0.222708	0.705536	0.000000	0.000000
1971	0.151348	0.377321	0.000000	0.000000	0.082948	0.000000	0.267442	0.000000	0.000000	0.100012
1972	0.219077	0.307430	0.000000	0.000000	0.097368	0.000000	0.233486	0.000000	0.000000	0.000000
1973	0.218383	0.427910	0.000000	0.000000	0.309275	0.000000	0.361855	0.000000	0.000000	0.000000
1974	0.233459	0.237528	0.000000	0.000000	0.092500	0.000000	0.274273	0.000000	0.000000	0.000000
1975	0.230716	0.338817	0.000000	0.000000	0.149648	0.000000	0.213432	0.000000	0.000000	0.000000
1976	0.172634	0.403440	0.000000	0.000000	0.240983	0.000000	0.151921	0.000000	0.000000	0.000000
1977	0.210779	0.170351	0.000000	0.000000	0.252414	0.000000	0.204721	0.000000	0.000000	0.249503
1978	0.212873	0.128851	0.000000	0.000000	0.174964	0.000000	0.175746	0.000000	0.000000	0.000000
1979	0.245241	0.153814	0.000000	0.000000	0.259692	0.000000	0.188044	0.000000	0.000000	0.000000
1980	0.215160	0.188870	0.000000	0.000000	0.260065	0.000000	0.259508	0.000000	0.000000	0.000000
1981	0.177064	0.176884	0.000000	0.000000	0.087918	0.000000	0.264760	0.000000	0.000000	0.252794
1982	0.285905	0.169069	0.000000	0.000000	0.154099	0.000000	0.194154	0.000000	0.000000	0.146634
1983	0.119305	0.106327	0.000000	0.000000	0.107428	0.000000	0.196871	0.000000	0.000000	0.261649
1984	0.191939	0.144594	0.000000	0.000000	0.215890	0.000000	0.211870	0.000000	0.000000	0.195472
1985	0.367114	0.201327	0.000000	0.000000	0.228136	0.000000	0.180943	0.000000	0.000000	0.018420
1986	0.133340	0.171569	0.000000	0.000000	0.000000	0.000000	0.315954	0.000000	0.000000	0.063192
1987	0.248903	0.085322	0.000000	0.000000	0.249354	0.000000	0.285661	0.000000	0.000000	0.182605
1988	0.345269	0.220714	0.000000	0.000000	0.162811	0.000000	0.383069	0.000000	0.000000	0.189258
1989	0.195327	0.130878	0.000000	0.000000	0.060990	0.000000	0.135464	0.000000	0.000000	0.089790
1990	0.247443	0.171157	0.000000	0.000000	0.000000	0.000000	0.200536	0.000000	0.000000	0.336177
1991	0.156062	0.194765	0.000000	0.000000	0.271498	0.000000	0.151347	0.000000	0.000000	0.113543
1992	0.279291	0.317907	0.788683	0.000000	0.263865	0.000000	0.335047	0.000000	0.000000	0.000000
1993	0.216726	0.178097	0.000000	0.000000	0.190403	0.000000	0.224532	0.000000	0.000000	0.186689
1994	0.285872	0.274980	0.000000	0.000000	0.135563	0.000000	0.207959	0.000000	0.000000	0.101165
1995	0.215203	0.153040	0.000000	0.000000	0.000000	0.000000	0.218761	0.000000	0.000000	0.178105
1996	0.286807	0.151617	0.000000	0.000000	0.000000	0.000000	0.254863	0.000000	0.000000	0.427728
1997	0.335700	0.269173	0.000000	0.000000	-0.000444	0.000000	0.269747	0.000000	0.000000	0.379656
1998	0.192751	0.187817	0.000000	0.000000	0.240040	0.000000	0.293368	0.000000	0.000000	0.315298
1999	0.222213	0.165127	0.000000	0.000000	0.035392	0.000000	0.201412	0.000000	0.000000	0.295406
2000	0.221439	0.279749	0.000000	0.000000	0.000000	0.000000	0.254162	0.000000	0.000000	0.025160
2001	0.263762	0.296994	0.000000	0.000000	0.233064	0.000000	0.430532	0.000000	0.000000	0.230885
2002	0.099597	0.260967	0.000000	0.000000	0.130271	0.000000	0.244712	0.000000	0.000000	0.358499
2003	0.117015	0.311156	0.000000	0.000000	0.224905	0.000000	0.195819	0.000000	0.000000	0.139493
2004	0.203967	0.231760	0.000000	0.000000	0.191330	0.000000	0.248963	0.000000	0.000000	0.201400
2005	0.117022	-0.003636	0.000000	0.000000	0.000000	0.000000	0.206675	0.000000	0.000000	0.131722
