Year	gomez	buonanotte	cesare degli occhi	« buonanotte	crisafulli	bruno	dezanl	370.620	elisio	blma
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.256608	0.278549	0.000000	0.000000	0.584031	0.257055	0.000000	0.000000	0.208690	0.000000
1952	0.047317	0.000000	0.000000	0.000000	0.341179	0.019311	0.398039	0.256866	0.250986	0.000000
1953	0.274396	0.148871	0.000000	0.000000	0.494991	0.270873	0.000000	0.000000	0.372108	0.466999
1954	0.201814	0.231938	0.000000	0.000000	0.000000	0.244559	0.000000	0.414762	0.483408	0.000000
1955	0.304483	0.604557	0.000000	0.000000	0.126955	0.226812	0.000000	0.295673	0.383667	0.000000
1956	0.122369	0.369644	0.000000	0.000000	0.356675	0.095214	0.000000	0.347123	0.215275	0.375226
1957	0.153197	0.277504	0.000000	0.000000	0.558738	0.362751	0.000000	0.709008	0.706415	0.705783
1958	0.253768	0.324470	0.000000	0.000000	0.341416	0.325320	0.000000	0.000000	0.202944	0.000000
1959	0.259577	0.082488	0.000000	0.000000	0.000000	0.316191	0.000000	0.000000	0.336002	0.000000
1960	0.120358	0.091118	0.000000	0.000000	0.000000	0.219027	0.550988	0.376246	0.165422	0.000000
1961	0.216122	0.522508	0.743086	0.722417	0.294170	0.220050	0.709279	0.000000	0.366140	0.521771
1962	0.382267	0.513986	0.000000	0.733348	0.000000	0.171720	0.439777	0.198893	0.196814	0.000000
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.107084	0.040505	0.000000	0.000000	0.146670	0.186807	-0.084367	0.000000	0.108116	0.180180
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
