Year	gei	janni	costanzo	baloncieri	hidegkuti	olivieri	cavalli	2841	guttmann	﻿ritardi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.345724	0.197500	0.157636	0.478382	0.331434	0.424773	0.064018	0.000000	0.000000	0.000000
1954	0.231639	0.368756	0.110110	0.000000	0.269868	0.451671	-0.025277	0.000000	0.000000	0.000000
1955	0.083010	0.313051	0.222272	0.000000	0.349370	0.377761	-0.014425	0.000000	0.440171	0.128994
1956	0.093719	0.495755	0.136156	0.000000	0.000000	0.387065	-0.054563	0.000000	0.000000	0.246902
1957	0.225240	0.233044	0.344692	0.358479	0.000000	0.405329	-0.043652	0.000000	0.000000	0.437427
1958	0.280098	0.327595	0.344795	0.450541	0.000000	0.321426	0.025498	0.757706	0.000000	0.752597
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.239553	0.357588	0.212252	0.000000	0.343729	0.414118	0.042450	0.000000	0.000000	0.000000
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.334988	0.200016	0.007102	0.086343	0.259244	0.191211	-0.188733	0.000000	0.491420	0.000000
1963	0.402065	0.085445	0.087474	0.000000	0.311630	0.156144	-0.092636	0.181481	0.000000	0.000000
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.292895	0.270854	0.081642	0.000000	0.000000	0.216854	-0.075810	0.000000	0.000000	0.000000
1969	0.065459	0.062700	0.341633	0.368597	0.244342	0.156134	-0.038397	0.000000	0.000000	0.000000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
