Year	aho	charlie valentine	4551	antonio di mauro	raimondo manzini	ennio caretta	molinari	sanitario	retila	caldora
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.389479	0.313271	0.000000	0.000000
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.095486	0.000000	0.000000	0.000000	0.000000	0.000000	0.417264	0.285140	0.000000	0.302765
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.000000	0.000000	0.000000	0.699166	0.000000	0.280964	0.315659	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.000000	0.000000	0.000000	0.000000	0.335685	0.000000	0.101166	0.281515	0.000000	0.344572
1964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.240228	0.413085	0.000000	0.193933
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.715902	0.000000	0.701298	0.000000	0.000000	0.000000	0.311329	0.173110	0.690519	0.690000
1974	0.149567	0.000000	0.365575	0.000000	0.000000	0.000000	0.204769	0.289450	0.000000	0.000000
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.035053	0.715030	0.000000	0.700961	0.000000	0.693385	0.207116	0.275126	0.000000	0.461468
1977	0.157202	0.000000	0.000000	0.000000	0.558388	0.000000	0.345951	0.217656	0.000000	0.434077
1978	0.281537	0.000000	0.000000	0.000000	0.000000	0.000000	0.107205	0.173427	0.000000	0.271081
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.012732	0.000000	0.000000	0.000000	0.000000	0.000000	0.107279	0.297184	0.000000	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
