Year	14.401	« buonanotte	mario coletti	bosco	zaccone	martignetti	guidetti serra	belli	possetti	aiglon
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.000000	0.000000	-0.022713	0.043727	-0.052987	0.000000	-0.140895	0.000000	0.032226
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.000000	0.000000	0.027279	0.244593	0.000000	0.000000	0.017369	0.000000	0.000000
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.773528	0.000000	-0.037709	0.400964	0.000000	0.000000	-0.006568	0.000000	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.345317	0.000000	0.000000	0.036168	0.394365	0.000000	0.000000	0.113804	0.296603	0.000000
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.000000	0.000000	0.176904	0.355023	0.000000	0.000000	-0.043876	0.000000	0.000000
1971	0.000000	0.000000	0.000000	0.088643	0.608918	0.000000	0.579104	-0.027921	0.000000	0.000000
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.000000	0.000000	0.099283	0.547809	0.576385	0.000000	-0.015899	0.753509	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.000000	0.059282	0.479387	0.000000	0.759646	0.031575	0.454130	0.000000
1976	0.000000	0.000000	0.000000	0.179987	0.415796	0.305153	0.478038	0.051740	0.352859	0.000000
1977	0.000000	0.000000	0.000000	0.091663	0.264226	0.000000	0.583303	-0.029271	0.000000	0.082760
1978	0.000000	0.000000	0.000000	0.058598	0.373970	0.339603	0.452001	-0.044087	0.000000	-0.004461
1979	0.000000	0.000000	0.000000	0.123923	0.526523	0.000000	0.617007	-0.056793	0.520021	0.126050
1980	0.000000	0.000000	0.000000	0.112525	0.496691	0.000000	0.000000	0.023074	0.000000	0.000000
1981	0.000000	0.000000	0.000000	0.132893	0.435488	0.000000	0.000000	-0.060960	0.000000	0.211549
1982	0.000000	0.000000	0.000000	0.048576	0.333280	0.000000	0.000000	-0.033949	0.043440	-0.061538
1983	0.000000	0.000000	0.000000	0.103347	0.224072	0.000000	0.347183	-0.025359	0.000000	0.066040
1984	0.000000	0.000000	0.000000	-0.010087	0.265015	0.000000	0.000000	-0.009029	0.000000	0.281047
1985	0.000000	0.000000	0.000000	0.035265	0.499153	0.252047	0.000000	0.126939	0.000000	0.000000
1986	0.000000	0.000000	0.000000	0.251506	0.462653	0.398464	0.000000	-0.114470	0.000000	0.000000
1987	0.000000	0.000000	0.000000	0.147031	0.344424	0.288529	0.000000	0.094158	0.299654	0.238787
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.000000	0.188888	0.369381	0.000000	0.000000	0.041139	0.258299	0.000000
1990	0.000000	0.000000	0.000000	0.045683	0.276169	0.289698	0.000000	0.084409	0.402936	0.000000
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.000000	0.000000	0.000000	0.005487	0.102831	0.099138	0.000000	0.057708	0.000000	0.000000
1993	0.789267	0.000000	0.000000	-0.093529	0.228050	0.000000	0.000000	0.055158	0.317517	0.750546
1994	0.310041	0.000000	0.000000	0.145137	0.278278	0.000000	0.000000	-0.024873	0.325586	0.000000
1995	0.000000	0.000000	0.000000	0.064360	0.324312	0.000000	0.411583	-0.133212	0.268782	0.000000
1996	0.000000	0.000000	0.000000	0.042412	0.281468	0.000000	0.000000	-0.228400	0.350958	0.000000
1997	0.000000	0.000000	0.000000	-0.070876	0.126829	0.000000	0.000000	-0.068280	0.000000	0.000000
1998	0.000000	0.000000	0.000000	0.110134	0.348628	0.000000	0.000000	-0.144910	0.000000	0.000000
1999	0.000000	0.000000	0.324601	-0.016033	0.199868	0.000000	0.000000	-0.093622	0.000000	0.088912
2000	0.000000	0.000000	0.768051	0.130417	0.372217	0.000000	0.000000	0.032614	0.000000	0.000000
2001	0.000000	0.000000	0.491378	0.035365	0.195051	0.000000	0.000000	-0.049909	0.000000	0.000000
2002	0.000000	0.000000	0.461478	0.074936	0.135844	0.000000	0.000000	0.009898	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
