Year	giovanni	alazan	delgrosso	cansio	ugobuzzolan	suleman	ieoi\	1.620.000	atfasud	conveb.i.i.
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.510196	0.000000	0.453753	0.000000	0.000000	0.000000	0.000000	0.504505	0.000000	0.000000
1954	0.482058	0.000000	0.448466	0.000000	0.000000	0.000000	0.000000	0.767443	0.000000	0.000000
1955	0.229042	0.000000	0.419547	0.000000	0.000000	0.000000	0.000000	0.702833	0.000000	0.000000
1956	0.319959	0.000000	0.376202	0.000000	0.000000	0.000000	0.000000	0.619980	0.000000	0.000000
1957	0.300892	0.000000	0.417163	0.000000	0.000000	0.000000	0.000000	0.631448	0.000000	0.000000
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.158467	0.000000	0.264056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.241231	0.000000	0.443429	0.000000	0.000000	0.000000	0.000000	0.222775	0.000000	0.000000
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.310667	0.000000	0.278370	0.000000	0.000000	0.000000	0.000000	0.230182	0.000000	0.000000
1976	0.289009	0.000000	0.378078	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1977	0.435978	0.000000	0.529014	0.000000	0.000000	0.000000	0.000000	0.000000	0.279963	0.000000
1978	0.200573	0.000000	0.335408	0.000000	0.000000	0.000000	0.000000	0.100201	0.000000	0.321586
1979	0.377150	0.775875	0.314974	0.772894	0.771211	0.769533	0.768301	0.000000	0.765089	0.764256
1980	0.366731	0.000000	0.358936	0.000000	0.000000	0.000000	0.000000	0.009341	0.373355	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.164308	0.000000	0.107196	0.187778	0.088173	0.000000	0.000000	0.234808	0.356643	0.000000
1983	0.173233	0.000000	0.270592	0.000000	0.314276	0.000000	0.000000	0.277958	0.000000	0.000000
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.193888	0.000000	0.466739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.186360	0.000000	0.084447	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1989	0.150717	0.000000	0.331631	0.000000	0.129689	0.000000	0.000000	0.000000	0.000000	0.000000
1990	0.360645	0.000000	0.466619	0.000000	0.068691	0.000000	0.000000	0.050280	0.000000	0.000000
1991	0.348165	0.000000	0.199251	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1992	0.344399	0.000000	0.428944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.241037	0.000000	0.124175	0.000000	0.000000	0.000000	0.000000	0.253506	0.000000	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.295620	0.000000	0.293249	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1999	0.135066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.351907	0.000000	0.268915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2002	0.250160	0.000000	0.150023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.163546	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
