Year	9362	6295	13,375	8279	6481	9278	9358	182,50	de litala	﻿saint
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.781991
1955	0.000000	0.400167	0.000000	0.383582	0.000000	0.000000	0.000000	0.000000	0.514262	0.555063
1956	0.000000	0.770071	0.000000	0.539368	0.359199	0.737078	0.000000	0.000000	0.665819	0.769317
1957	0.000000	0.878355	0.875958	0.873069	0.000000	0.000000	0.000000	0.869727	0.869370	0.868374
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.677887	0.598533	0.000000	0.561448	0.000000	0.631273	0.000000	0.000000	0.000000	0.354731
1961	0.878973	0.613618	0.000000	0.823127	0.870341	0.870094	0.870056	0.000000	0.000000	0.603561
1962	0.000000	0.400867	0.000000	0.257145	0.511731	0.566205	0.000000	0.460302	0.000000	0.486169
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.746863	0.609308	0.000000	0.000000	0.727285	0.728177	0.752577	0.447807	0.000000	0.644982
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.000000	0.668203	0.000000	0.000000	0.000000	0.000000	0.544415	0.000000	0.000000	0.620117
1968	0.000000	0.403792	0.000000	0.000000	0.000000	0.000000	0.000000	0.359236	0.000000	0.285596
1969	0.000000	0.501824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.672021
1970	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.194562	0.000000	0.294046
1971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.119350
1972	0.000000	0.000000	0.000000	0.000000	0.240599	0.000000	0.000000	0.284380	0.000000	0.326486
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
