Year	.temolo	giuseppe giunti	enrico maria	corrado	afams	pomponi	malna	6223026	casagiove	﻿tf
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.000000	0.000000	0.000000	0.368254	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.000000	0.000000	0.000000	0.368026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.000000	0.000000	0.000000	0.179068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.000000	0.000000	0.823957	0.294650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.000000	0.000000	0.000000	0.396216	0.000000	0.496923	0.000000	0.000000	0.000000	0.000000
1975	0.000000	0.000000	0.000000	0.060260	0.000000	0.226445	0.000000	0.000000	0.000000	0.000000
1976	0.000000	0.000000	0.000000	0.306527	0.000000	0.817228	0.000000	0.815897	0.000000	0.000000
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.442357	0.000000	0.000000	0.127102	0.000000	0.000000	0.000000	0.000000	0.276596	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.844046	0.826318	0.000000	0.239540	0.819289	0.000000	0.816914	0.000000	0.815555	0.815483
1981	0.000000	0.000000	0.000000	0.193304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1982	0.000000	0.000000	0.000000	0.184015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1983	0.000000	0.000000	0.000000	0.358531	0.000000	0.068709	0.000000	0.000000	0.000000	0.182507
1984	0.000000	0.000000	0.000000	0.071133	0.000000	0.188859	0.266038	0.000000	0.000000	0.000000
1985	0.000000	0.000000	0.000000	0.213677	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.000000	0.336027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.000000	0.040099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1990	0.000000	0.000000	0.000000	0.191960	0.000000	0.372900	0.000000	0.000000	0.000000	0.000000
1991	0.000000	0.000000	0.000000	0.361691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1992	0.000000	0.000000	0.000000	0.343425	0.000000	0.252006	0.000000	0.000000	0.000000	0.000000
1993	0.000000	0.000000	0.000000	0.331572	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1994	0.000000	0.000000	0.000000	0.226343	0.000000	0.274195	0.000000	0.000000	0.000000	0.000000
1995	0.000000	0.000000	0.000000	0.111801	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.000000	0.000000	0.000000	0.325975	0.000000	0.124471	0.000000	0.000000	0.000000	0.000000
1998	0.000000	0.000000	0.000000	0.445983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1999	0.000000	0.000000	0.000000	0.208334	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2000	0.000000	0.000000	0.000000	0.335579	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.252545	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2002	0.000000	0.000000	0.000000	0.266025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.000000	0.000000	0.274021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
