Year	viglione	campana	chiusano	reina	arcangelo musso	bonelli	dall' ora	gianfranco chessa	ascari	silvio romanelli
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.299383	-0.017356	0.230055	0.273983	0.000000	0.287069	0.000000	0.000000	0.005307	0.000000
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.307409	0.008203	0.355835	0.201618	0.000000	0.225183	0.000000	0.000000	0.097158	0.000000
1965	0.497262	-0.008110	0.432884	0.248162	0.000000	0.358299	0.000000	0.000000	0.178721	0.000000
1966	0.205007	0.093627	0.355951	0.172544	0.000000	0.323964	0.000000	0.000000	-0.006274	0.000000
1967	0.165709	-0.134887	0.523809	0.448591	0.000000	0.317224	0.000000	0.000000	0.154153	0.000000
1968	0.273555	0.004504	0.384275	0.195823	0.000000	0.252816	0.000000	0.000000	0.269695	0.000000
1969	0.294520	0.163113	0.367919	0.372217	0.000000	0.383205	0.000000	0.000000	0.145238	0.000000
1970	0.376857	-0.103907	0.318381	0.260230	0.000000	0.146559	0.000000	0.000000	0.035042	0.000000
1971	0.385880	0.255704	0.450822	0.408448	0.000000	0.216402	0.000000	0.000000	0.178708	0.726569
1972	0.336284	0.082772	0.318636	0.509665	0.000000	0.360636	0.749590	0.000000	0.116120	0.000000
1973	0.327552	0.167744	0.316174	0.309844	0.000000	0.395405	0.000000	0.000000	-0.028435	0.635507
1974	0.545298	0.149202	0.289660	0.147510	0.000000	0.283910	0.000000	0.000000	0.171007	0.000000
1975	0.515513	0.307142	0.483725	0.375234	0.753575	0.252640	0.000000	0.000000	0.243726	0.623642
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.214250	0.091700	0.325277	0.238274	0.000000	0.138035	0.000000	0.743054	0.162311	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.262851	0.088987	0.224943	0.054331	0.146581	0.185548	0.000000	0.391887	0.186388	0.408046
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
