Year	paolo billia	hortobaby	mario negri	istruzione	﻿tematica	ucigos	ieo	arminia	elee	ultradestra
1948	0.000000	0.000000	0.000000	0.432847	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.000000	0.000000	0.200984	0.000000	0.000000	0.000000	0.000000	0.127505	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.000000	0.000000	0.000000	0.241753	0.000000	0.000000	0.000000	0.000000	0.308502	0.000000
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.000000	0.000000	0.168072	0.000000	0.000000	0.000000	0.000000	0.060509	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.000000	0.327911	0.000000	0.000000	0.102358	0.000000	0.098772	0.340927
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.000000	0.000000	0.000000	0.339551	0.000000	0.420083	0.000000	0.000000	0.229999	0.490530
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.553379	0.375267	0.000000	0.463237	0.242106	0.000000	0.316100	0.405531
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.000000	0.337517	0.000000	0.587712	0.388716	0.000000	0.189713	0.339967
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.000000	0.000000	0.000000	0.405302	0.000000	0.613825	0.213246	0.000000	0.080131	0.378860
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.000000	0.752149	0.303544	0.000000	0.397929	0.000000	0.000000	0.190606	0.301572
1996	0.000000	0.000000	0.650337	0.255727	0.000000	0.438943	0.000000	0.000000	0.175883	0.200847
1997	0.000000	0.763546	0.000000	0.412015	0.000000	0.460380	0.000000	0.715883	0.713706	0.712813
1998	0.000000	0.000000	0.000000	0.473124	0.000000	0.445522	0.000000	0.000000	0.558894	0.260718
1999	0.000000	0.000000	0.000000	0.359562	0.000000	0.308443	0.273672	0.000000	0.585282	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.000000	0.000000	0.481958	0.000000	0.500919	0.401269	0.000000	0.388596	0.505733
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.814420	0.000000	0.821831	0.254914	0.737024	0.475532	0.648408	0.000000	0.505954	0.359255
2004	0.000000	0.000000	0.773657	0.415371	0.000000	0.734806	0.732435	0.000000	0.568453	0.508983
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
