Year	ti/77	sabbata	roberto romei	tel746.096	739.9461	savlcm	﻿cengio	125.900	pecs	salvagni
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.000000	0.518603	0.000000	0.000000	0.000000	0.205224	0.000000	0.000000	0.000000	0.577883
1977	0.000000	0.822670	0.816463	0.000000	0.000000	0.814761	0.000000	0.000000	0.000000	0.524303
1978	0.822804	0.522075	0.000000	0.814837	0.814775	0.000000	0.814508	0.812471	0.811604	0.000000
1979	0.000000	0.376026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166336	0.484713
1980	0.000000	0.481577	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.360972	0.811244
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.198176	0.000000	0.241877	0.404515
1989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.131079	0.000000	0.000000	0.440555
1990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001980	0.000000	0.165735	0.238798
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040036	0.000000	0.090290	0.343345
1993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.278732	0.000000	0.000000	0.300581
1994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.259493	0.000000	0.000000	0.398162
1995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.063389	0.000000	0.000000	0.000000
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.077236	0.000000	0.000000	0.313180
1997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.085520	0.000000	0.005238	0.000000
1998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.086138	0.000000	0.000000	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.088985	0.000000	0.000000	0.058973
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
