Year	benigno zaccagnini	piero fassino	mauro giallombardo	ardito	cleto morbelli	spadolini	giorgio la malfa	elio borgogno	de zaccagnini	martinazzoli
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.622013	0.000000	0.000000	0.347012	0.000000	0.367843	0.463153	0.000000	0.588335	0.496626
1977	0.512917	0.000000	0.000000	0.296748	0.000000	0.283272	0.381953	0.000000	0.618399	0.427276
1978	0.632152	0.000000	0.000000	0.305198	0.000000	0.370679	0.000000	0.000000	0.726408	0.458748
1979	0.810907	0.000000	0.000000	0.297296	0.000000	0.444586	0.689264	0.000000	0.778343	0.390328
1980	0.000000	0.000000	0.000000	0.367458	0.000000	0.469963	0.000000	0.000000	0.000000	0.390576
1981	0.000000	0.000000	0.000000	0.302813	0.000000	0.266062	0.000000	0.000000	0.000000	0.469663
1982	0.000000	0.000000	0.000000	0.457287	0.000000	0.231163	0.000000	0.000000	0.000000	0.401681
1983	0.000000	0.787781	0.000000	0.326907	0.000000	0.434985	0.000000	0.753338	0.000000	0.407291
1984	0.000000	0.584494	0.000000	0.326155	0.773376	0.223597	0.000000	0.627990	0.000000	0.102299
1985	0.000000	0.494032	0.000000	0.455690	0.000000	0.240121	0.461284	0.000000	0.000000	0.077117
1986	0.000000	0.463704	0.000000	0.191215	0.000000	0.082502	0.000000	0.000000	0.000000	0.153393
1987	0.000000	0.490885	0.000000	0.376614	0.000000	0.316382	0.523089	0.000000	0.000000	0.489839
1988	0.000000	0.000000	0.000000	0.408204	0.000000	0.324762	0.658030	0.000000	0.000000	0.383194
1989	0.000000	0.489351	0.000000	0.365020	0.000000	0.308394	0.695682	0.000000	0.000000	0.357539
1990	0.000000	0.000000	0.000000	0.439936	0.000000	0.406654	0.768917	0.000000	0.000000	0.313878
1991	0.000000	0.297459	0.000000	0.447670	0.000000	0.363795	0.764817	0.000000	0.000000	0.402763
1992	0.000000	0.000000	0.000000	0.286521	0.000000	0.423178	0.792778	0.000000	0.000000	0.452726
1993	0.000000	0.000000	0.629480	0.362824	0.000000	0.269258	0.638204	0.000000	0.000000	0.380342
1994	0.000000	0.267501	0.776226	0.372363	0.000000	0.308161	0.557048	0.000000	0.000000	0.312272
1995	0.000000	0.000000	0.484438	0.257701	0.000000	0.363465	0.487411	0.000000	0.000000	0.441027
1996	0.000000	0.000000	0.423131	0.171650	0.000000	0.239363	0.402574	0.000000	0.000000	0.278995
1997	0.000000	0.000000	0.000000	0.087590	0.000000	0.130521	0.376648	0.000000	0.000000	0.236695
1998	0.000000	0.000000	0.000000	0.213794	0.000000	0.193274	0.395192	0.000000	0.000000	0.332925
1999	0.000000	0.000000	0.000000	0.116493	0.000000	0.177267	0.425390	0.000000	0.000000	0.134658
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
