Year	seghezza	vittorio panucci	amadeo	tito rael	diego zanetti	caboni	soldo	bruno nattino	giuliano clravegna	gori
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.000000	0.291486	0.000000	0.560223	0.308280	-0.092842	0.000000	0.000000	0.191303
1978	0.101946	0.000000	0.451301	0.000000	0.761549	0.449596	0.221202	0.000000	0.000000	0.415698
1979	0.132190	0.000000	0.192944	0.828268	0.822876	0.379658	-0.045415	0.806932	0.000000	0.384404
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.104364	0.000000	0.201059	0.000000	0.000000	0.353941	0.082421	0.000000	0.000000	0.272844
1982	0.284682	0.000000	0.104918	0.000000	0.000000	0.248997	0.076566	0.408867	0.392416	0.193454
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.381887	0.000000	0.268176	0.000000	0.000000	0.249556	0.018469	0.000000	0.000000	0.303595
1987	0.480724	0.835114	0.275094	0.000000	0.000000	0.390558	-0.016834	0.000000	0.805375	0.368738
1988	0.343065	0.000000	0.229488	0.000000	0.000000	0.340448	-0.146493	0.000000	0.000000	0.268622
1989	0.241453	0.000000	0.155913	0.000000	0.417677	0.459494	-0.146527	0.000000	0.000000	0.068833
1990	0.467288	0.000000	0.226810	0.000000	0.000000	0.449913	-0.168700	0.000000	0.000000	0.153468
1991	0.407363	0.000000	0.131004	0.000000	0.000000	0.371390	-0.126241	0.000000	0.000000	0.216839
1992	0.561622	0.000000	0.095896	0.000000	0.442240	0.348507	0.048251	0.000000	0.000000	0.244671
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
