Year	luigi cichero	cichero	adriano pisano	gianni innocenti	wenger	enzo neuhoff	marco corradi	nicolini	franco rondanini	corrado orcino
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.339793	0.000000	0.000000	0.000000	0.000000	0.000000	0.259362	0.000000	0.000000
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.143746	0.000000	0.000000	0.000000	0.000000	0.000000	0.078145	0.458715	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.489362	0.000000	0.000000	0.000000	0.000000	0.000000	0.417046	0.000000	0.000000
1983	0.000000	0.266188	0.000000	0.000000	0.247368	0.000000	0.000000	0.217639	0.000000	0.000000
1984	0.000000	0.285529	0.000000	0.000000	0.000000	0.000000	0.000000	0.274232	0.713839	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.000000	0.287962	0.586104	0.000000	0.000000	0.000000	0.000000	0.294948	0.000000	0.000000
1987	0.000000	0.228720	0.563075	0.000000	0.324150	0.000000	0.000000	0.149280	0.000000	0.000000
1988	0.000000	0.439331	0.563230	0.000000	0.365152	0.000000	0.000000	0.369217	0.000000	0.576794
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.614125	0.401348	0.563283	0.000000	0.620996	0.000000	0.707594	0.349050	0.000000	0.000000
1991	0.667760	0.387533	0.638661	0.000000	0.387929	0.000000	0.000000	0.304209	0.000000	0.601445
1992	0.862661	0.525683	0.792352	0.000000	0.518337	0.000000	0.788309	0.358579	0.000000	0.769974
1993	0.506038	0.525477	0.805443	0.795768	0.591952	0.788824	0.614231	0.152748	0.824852	0.689255
1994	0.609867	0.527124	0.791477	0.000000	0.483598	0.793582	0.000000	0.163121	0.718165	0.000000
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
