Year	dario pavanello	zanlungo	camarlinghi	di segni	piero vermonti	giorgio donna	pichetto	7.1.1920	nello streri	paola bonacchi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.000000	0.167762	0.282765	0.190261	0.000000	0.000000	0.087666	0.000000	0.000000	0.000000
1977	0.000000	0.383810	0.417834	0.000000	0.000000	0.000000	0.497060	0.000000	0.000000	0.000000
1978	0.000000	0.396189	0.436698	0.517390	0.000000	0.000000	0.382226	0.000000	0.000000	0.000000
1979	0.000000	0.456608	0.513257	0.807581	0.000000	0.000000	0.461903	0.000000	0.643522	0.000000
1980	0.000000	0.468806	0.540169	0.535849	0.000000	0.000000	0.362608	0.000000	0.589370	0.000000
1981	0.000000	0.350614	0.000000	0.000000	0.000000	0.000000	0.380069	0.000000	0.470299	0.000000
1982	0.000000	0.311702	0.354150	0.000000	0.000000	0.000000	0.346007	0.000000	0.577516	0.000000
1983	0.000000	0.200060	0.301372	0.000000	0.000000	0.000000	0.358584	0.000000	0.799955	0.000000
1984	0.000000	0.000000	0.121109	0.000000	0.000000	0.000000	0.357121	0.000000	0.000000	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.000000	0.372047	0.348353	0.000000	0.000000	0.000000	0.274422	0.000000	0.451968	0.000000
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.000000	0.473644	0.000000	0.000000	0.804979	0.309588	0.374555	0.803465	0.383794	0.000000
1994	0.289669	0.000000	0.000000	0.000000	0.000000	0.237196	0.310204	0.000000	0.198165	0.000000
1995	0.662708	0.102097	0.109095	0.000000	0.000000	0.676961	0.196390	0.000000	0.000000	0.514082
1996	0.839533	0.000000	0.000000	0.000000	0.000000	0.804507	0.225184	0.000000	0.000000	0.799239
1997	0.673283	0.007024	0.000000	0.000000	0.000000	0.000000	0.455543	0.000000	0.000000	0.000000
1998	0.653680	0.041311	0.000000	0.000000	0.000000	0.000000	0.312690	0.000000	0.000000	0.560984
1999	0.523490	0.000000	0.000000	0.000000	0.123139	0.000000	0.427699	0.000000	0.000000	0.000000
2000	0.479753	0.120209	0.000000	0.000000	0.000000	0.000000	0.466267	0.000000	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.363321	0.000000	0.000000	0.000000
2002	0.000000	0.148586	0.000000	0.000000	0.000000	0.312568	0.398668	0.000000	0.000000	0.000000
2003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.569438	0.000000	0.000000	0.000000
2004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.464335	0.000000	0.000000	0.000000
2005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.415307	0.000000	0.000000	0.000000
