Year	marco carena	riccardo zappa	matteo brigandi	andrea mingardi	ivan graziani	dori ghezzi	paolo frola	alessandro bono	correggio	tullio rapone
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.000000	0.000000	0.000000	0.000000	0.736318	0.000000	0.000000	0.000000	0.274726	0.000000
1979	0.000000	0.757573	0.000000	0.000000	0.000000	0.732711	0.000000	0.000000	0.274225	0.000000
1980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.188537	0.000000
1981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080174	0.000000
1982	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.097410	0.000000
1983	0.000000	0.000000	0.000000	0.753005	0.000000	0.000000	0.000000	0.000000	0.056558	0.000000
1984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.213010	0.000000
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.191441	0.000000
1986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.238226	0.000000
1987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.094850	0.000000
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.414864	0.762612
1989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.248362	0.527356
1990	0.799287	0.000000	0.000000	0.000000	0.000000	0.000000	0.499406	0.727037	0.188523	0.673448
1991	0.773804	0.000000	0.000000	0.549205	0.000000	0.000000	0.525720	0.000000	0.194226	0.563912
1992	0.757967	0.000000	0.000000	0.000000	0.000000	0.000000	0.471557	0.000000	0.140823	0.000000
1993	0.418701	0.000000	0.000000	0.000000	0.000000	0.000000	0.457383	0.000000	0.121242	0.000000
1994	0.532681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.105771	0.000000
1995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.761583	0.000000	0.100562	0.334211
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.590648	0.000000	0.278339	0.000000
1997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.556008	0.000000	0.080163	0.000000
1998	0.335497	0.000000	0.000000	0.473873	0.000000	0.000000	0.000000	0.000000	0.288016	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.694757	0.000000	0.410714	0.000000
2000	0.000000	0.000000	0.756324	0.000000	0.000000	0.000000	0.505415	0.000000	0.262253	0.000000
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
