Year	re	cancrini	foppa	luigi gallo	zagaria	fiorenzo alfieri	scippa	rolando	balmas	maccheroni
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.002947	0.292353	0.338524	0.000000	0.000000	0.136384	0.453544	0.226563	0.412273	0.008046
1977	-0.048733	0.317114	0.479497	0.000000	0.000000	0.542452	0.451070	0.380822	0.489538	-0.127251
1978	-0.060649	0.179595	0.401529	0.000000	0.236979	0.407849	0.284746	0.383864	0.426522	0.065173
1979	0.023493	0.410132	0.400441	0.000000	0.000000	0.564163	0.415516	0.299851	0.431155	0.063088
1980	-0.023037	0.407395	0.308590	0.732020	0.342003	0.722649	0.433603	0.380778	0.424137	0.250039
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
