Year	mario vaudano	mario bozzola	giovanni bracco	marcello parola	antonio penco	campisi	domenico cuzzola	calogero	agostino cordova	rudolph giuliani
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.000000	0.000000	0.000000	0.000000	0.355750	0.000000	0.326331	0.000000	0.000000
1980	0.000000	0.000000	0.000000	0.551499	0.000000	0.392100	0.000000	0.365985	0.000000	0.000000
1981	0.000000	0.000000	0.000000	0.000000	0.000000	0.442289	0.000000	0.355300	0.000000	0.000000
1982	0.063759	0.000000	0.000000	0.454852	0.000000	0.049668	0.000000	0.151760	0.000000	0.000000
1983	0.248249	0.000000	0.000000	0.548591	0.707727	0.482035	0.000000	0.194655	0.000000	0.000000
1984	0.251059	0.000000	0.000000	0.648398	0.000000	0.416990	0.000000	0.238001	0.000000	0.000000
1985	0.000000	0.000000	0.000000	0.769161	0.000000	0.564170	0.677580	0.311810	0.000000	0.689458
1986	0.000000	0.000000	0.000000	0.666685	0.000000	0.385865	0.543212	0.327944	0.000000	0.000000
1987	0.367133	0.000000	0.000000	0.507138	0.000000	0.108138	0.218444	0.227973	0.000000	0.298326
1988	0.000000	0.558699	0.000000	0.432152	0.000000	0.416364	0.000000	0.240112	0.000000	0.355520
1989	0.000000	0.468522	0.000000	0.422005	0.000000	0.261036	0.388973	0.360026	0.000000	0.204112
1990	0.745275	0.726997	0.714428	0.760470	0.000000	0.526035	0.724075	0.211335	0.690940	0.000000
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
