Year	giorgio campagna	franco ferrari	rino marchesi	seghezza	nunzio santoro	barlassina	cardoso	sergio caligaris	giorgio moro	viviani
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.000000	0.000000	0.138655	0.000000	0.045710	0.165520	0.000000	0.000000	0.075534
1980	0.000000	0.804833	0.000000	0.174905	0.000000	0.133648	0.206926	0.000000	0.000000	0.024024
1981	0.000000	0.000000	0.423451	0.167765	0.000000	0.050051	0.125985	0.000000	0.000000	0.068445
1982	0.000000	0.174860	0.395079	0.306968	0.000000	0.290029	0.369506	0.000000	0.000000	-0.003659
1983	0.000000	0.428514	0.470874	0.399569	0.000000	0.320563	0.046082	0.000000	0.000000	0.139235
1984	0.000000	0.182888	0.478841	0.275202	0.398175	0.189811	0.237864	0.570841	0.000000	0.217411
1985	0.000000	0.363670	0.000000	0.436898	0.800688	0.285697	0.193016	0.787401	0.000000	0.374710
1986	0.000000	0.000000	0.596324	0.361033	0.000000	0.280230	0.409046	0.637027	0.630959	0.210702
1987	0.646545	0.368843	0.605644	0.466190	0.000000	0.410956	0.360432	0.000000	0.000000	0.243013
1988	0.804972	0.493558	0.803371	0.535183	0.790372	0.487948	0.631751	0.000000	0.786318	0.421154
1989	0.000000	0.452926	0.000000	0.260155	0.558140	0.346276	0.239660	0.000000	0.619019	0.305222
1990	0.000000	0.462667	0.000000	0.165725	0.000000	0.172440	0.232317	0.499707	0.505712	0.187390
1991	0.000000	0.263952	0.000000	0.407339	0.000000	0.191544	0.276990	0.420495	0.535772	0.207042
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
