Year	biondi	natta	renato altissimo	biasini	zaccagnini	longo	negri	benigno zaccagnini	alfredo biondi	craxi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.177772	0.569688	0.000000	0.600215	0.338854	0.465418	0.021513	0.781557	0.000000	0.356162
1980	0.264008	0.579089	0.000000	0.498838	0.414219	0.583022	0.131740	0.000000	0.194306	0.554210
1981	0.347868	0.566360	0.000000	0.523072	0.484309	0.603810	0.218073	0.000000	0.000000	0.561293
1982	0.261070	0.315592	0.000000	0.414870	0.339933	0.369457	0.245363	0.000000	0.301597	0.301987
1983	0.338221	0.339093	0.106013	0.409278	0.402119	0.520462	0.275543	0.000000	0.438154	0.454008
1984	0.290014	0.478509	0.000000	0.630633	0.489707	0.479599	0.211061	0.000000	0.000000	0.372291
1985	0.515196	0.485716	0.000000	0.552521	0.383975	0.513421	0.306456	0.000000	0.798737	0.416115
1986	0.342522	0.434792	0.714353	0.575601	0.380175	0.277949	0.249292	0.000000	0.748750	0.351490
1987	0.320433	0.395671	0.799152	0.585607	0.494598	0.263787	0.301175	0.000000	0.604421	0.316554
1988	0.302282	0.286651	0.567252	0.393896	0.304795	0.269242	0.291101	0.000000	0.484505	0.218720
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.128120	0.117526	0.178818	0.365388	0.403751	0.274019	0.100288	0.000000	0.327210	0.151545
1991	0.157398	0.212822	0.440090	0.109159	0.235083	0.123374	0.324414	0.000000	0.203668	0.311007
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.156252	0.228928	0.444160	0.157334	0.341913	0.276805	0.224531	0.000000	0.263866	0.252217
1994	-0.032298	-0.188749	0.000000	0.158105	0.144213	0.015969	-0.060273	0.000000	0.188317	0.002302
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
