Year	johnson	conte olivieri	canterbury	jean villot	umberto	anglicano	omodei	seper	bruno palmiotti	de rumor
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.170290	0.672982	0.277257	0.000000	0.114670	0.374413	0.000000	0.000000	0.000000	0.639140
1965	0.262857	0.000000	0.373854	0.000000	0.169340	0.403956	0.000000	0.489990	0.000000	0.000000
1966	0.259149	0.000000	0.439202	0.000000	0.044827	0.458868	0.000000	0.000000	0.000000	0.440811
1967	0.190656	0.000000	0.405639	0.000000	0.227465	0.288472	0.000000	0.000000	0.000000	0.354485
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.352915	0.000000	0.454778	0.000000	0.062312	0.447487	0.149512	0.000000	0.000000	0.000000
1971	0.182998	0.000000	0.284679	0.000000	-0.015777	0.347229	0.000000	0.000000	0.000000	0.000000
1972	0.406369	0.000000	0.339519	0.000000	0.020660	0.413613	0.185884	0.301330	0.000000	0.000000
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.302287	0.000000	0.205933	0.000000	0.250103	0.500666	0.654970	0.000000	0.643889	0.000000
1977	0.295724	0.000000	0.670644	0.000000	0.269193	0.656167	0.371667	0.000000	0.000000	0.000000
1978	0.175069	0.000000	0.304595	0.667259	0.289205	0.410297	0.297763	0.427272	0.250155	0.000000
1979	0.173691	0.000000	0.265268	0.000000	0.292065	0.373970	0.163984	0.650306	0.394073	0.000000
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.136570	0.000000	0.134422	0.000000	-0.092328	0.077796	0.171572	0.004236	0.000000	0.000000
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
