Year	oronzo pugliese	tagnin	lorenzo	maestrelli	nereo rocco	canali	marchioro	krugel	giorcelli	cade
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.000000	0.240423	0.226846	0.069269	0.463474	-0.204222	0.238464	0.000000	0.411912	-0.151943
1965	0.462623	0.338518	0.084297	-0.022685	0.617451	-0.072876	0.232264	0.000000	0.101264	0.013349
1966	0.600340	0.357684	0.119892	0.100573	0.703811	-0.140589	0.318082	0.000000	0.193942	-0.148194
1967	0.000000	0.506880	0.136055	0.153549	0.765371	-0.193302	0.330997	0.000000	0.442450	-0.004288
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.767531	0.000000	0.258764	0.476651	0.670685	-0.171438	0.000000	0.000000	0.118926	0.308069
1970	0.000000	0.476666	0.243393	0.371748	0.556348	-0.222110	0.436433	0.000000	0.017019	0.322117
1971	0.000000	0.385695	0.084695	0.360010	0.666833	-0.056315	0.256034	0.000000	0.328554	0.125572
1972	0.000000	0.372449	0.075143	0.261815	0.563261	-0.072742	0.256800	0.382948	0.266269	0.034362
1973	0.000000	0.418585	0.071012	0.289725	0.000000	-0.233811	0.356447	0.000000	0.262227	0.095646
1974	0.000000	0.456934	0.247722	0.206319	0.000000	-0.133016	0.317599	0.446827	0.447204	0.034622
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.090987	0.009528	0.126087	0.000000	-0.036191	0.301809	0.000000	0.217341	0.128694
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
