Year	longoni	bruno	pugliese	1408	chiappella	rlgamontl	silvestri	83,70	rocco	fabbri
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.140803	0.051960	0.070346	0.363804	0.144925	0.336599	0.350648	0.445350	0.158507	0.124123
1962	0.194948	0.226246	0.191624	0.276652	0.000000	0.000000	0.260159	0.000000	0.236196	0.232680
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.167932	0.193085	0.164738	0.511387	0.342166	0.440145	0.388935	0.000000	0.254940	0.250420
1965	0.285830	0.192557	0.346764	0.276737	0.465364	0.000000	0.393963	0.000000	0.368626	0.162040
1966	0.177053	0.150592	0.262203	0.063902	0.364092	0.000000	0.404399	0.000000	0.277605	0.267035
1967	0.248383	0.284560	0.401639	0.138478	0.377612	0.000000	0.433500	0.000000	0.326938	0.353116
1968	0.311369	0.270274	0.351553	0.169177	0.398305	0.000000	0.405165	0.000000	0.317972	0.228395
1969	0.308440	0.389346	0.379316	0.059299	0.341226	0.352272	0.412051	0.285494	0.415986	0.413337
1970	0.410988	0.197071	0.102486	0.728216	0.196201	0.709328	0.316348	0.708279	0.147785	0.303597
1971	0.301632	0.327427	0.322305	0.280064	0.393080	0.435808	0.327271	0.000000	0.353626	0.360415
1972	0.123365	0.217402	0.270252	0.255604	0.368925	0.000000	0.280125	0.203624	0.210750	0.287038
1973	0.045279	0.279154	0.226690	-0.081391	0.117866	0.000000	0.268326	0.000000	0.245325	0.138273
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
