Year	herrera	heriberto herrera	carniglia	ocwirk	giorgio pula	santos	lorenzo	brltt	rocco	mirò
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.437495	0.666367	0.571589	0.447439	0.000000	0.474484	0.268655	0.101107	0.430063	0.420995
1965	0.418146	0.787400	0.503471	0.525388	0.000000	0.284051	0.151676	0.000000	0.387882	0.057324
1966	0.381431	0.676272	0.459235	0.000000	0.000000	0.067631	0.132909	0.073089	0.338009	-0.012913
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.299589	0.275318	0.482952	0.529135	0.000000	0.352868	0.142341	0.260448	0.302642	0.150845
1972	0.302066	0.000000	0.261420	0.000000	0.000000	0.172141	0.044493	0.109817	0.344650	-0.034900
1973	0.434724	0.567020	0.169798	0.473822	0.000000	0.299640	0.093683	0.153917	0.413058	0.047745
1974	0.272949	0.000000	0.000000	0.000000	0.000000	0.215664	0.186004	0.281473	0.313248	0.203723
1975	0.232386	0.000000	0.000000	0.000000	0.000000	0.333137	0.094452	0.761393	0.168088	0.420168
1976	0.182870	0.000000	0.000000	0.000000	0.000000	0.292430	0.306565	0.000000	0.222102	-0.065628
1977	0.401056	0.000000	0.274572	0.000000	0.000000	0.242074	0.122002	0.000000	0.300961	0.127613
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.420127	0.000000	0.305786	0.000000	0.000000	0.248300	0.123827	0.000000	0.081452	0.159683
1980	0.266788	0.000000	0.332422	0.119094	0.000000	0.240277	0.125639	0.000000	0.121989	0.169189
1981	0.382878	0.000000	0.159942	0.000000	0.000000	0.225723	0.174380	0.000000	0.186189	0.029494
1982	0.254340	0.000000	0.197916	0.000000	0.000000	0.049714	-0.060469	0.000000	-0.046034	-0.038656
1983	0.326806	0.000000	0.000000	0.000000	0.000000	0.202926	0.042324	0.197508	0.145091	0.242558
1984	0.355190	0.000000	0.276949	0.397641	0.000000	0.356904	0.242686	0.294142	0.188896	0.016321
1985	0.321736	0.000000	0.179544	0.000000	0.421285	0.231123	0.228168	0.000000	0.112769	0.090774
1986	0.333697	0.000000	0.229565	0.000000	0.775370	0.187243	0.225631	0.317882	0.216475	0.051479
1987	0.129084	0.000000	0.217224	0.000000	0.501272	0.212401	0.119600	0.000000	0.044872	0.004182
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.284139	0.000000	0.196779	0.000000	0.000000	0.240812	0.137195	0.000000	0.198666	0.173285
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
