Year	baldi	santos	parola	gei	furiassi	pedroni	del grosso	nuccio messina	castello	fabbri
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.157308	0.395479	0.085544	0.115171	0.000000	0.472310	0.000000	0.000000	-0.091632	-0.016397
1961	0.340232	0.481254	0.187668	0.445280	0.555150	0.527602	0.733754	0.000000	-0.047618	0.170351
1962	0.161451	0.368672	0.097534	0.470489	0.448038	0.262652	0.576457	0.000000	-0.098118	0.368049
1963	-0.011974	0.382764	-0.008521	0.422633	0.446129	-0.003884	0.000000	0.000000	-0.079693	0.338464
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	-0.116091	0.242588	0.047023	0.126322	0.000000	0.213119	0.000000	0.000000	-0.084504	0.349010
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.282285	0.011345	0.036246	0.311684	0.000000	0.241404	0.000000	0.733504	-0.049005	0.167734
1973	0.314933	0.177990	-0.024949	0.289465	0.359687	0.362865	0.000000	0.565744	0.090470	0.152165
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.345102	0.106110	0.030630	0.147272	0.000000	0.229045	0.000000	0.000000	-0.076912	0.268656
1979	0.428303	0.311974	0.076804	0.337850	0.000000	0.419263	0.000000	0.000000	0.048816	0.241964
1980	0.245836	0.234797	-0.021286	0.098700	0.000000	0.193980	0.000000	0.000000	-0.019578	0.178196
1981	0.272514	0.045841	0.008788	0.298109	0.000000	0.371647	0.000000	0.000000	0.041961	0.172438
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.092143	-0.132819	0.167432	-0.019566	0.000000	0.080614	0.000000	0.000000	0.009112	0.148887
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
