Year	maria josé di savoia	margot	giuliana	saba »	giuliana d' olanda	pinochet « estradabile	orioli	disadorna	beatrice d' olanda	hooper
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.000000	0.233106	0.276631	0.421248	0.435233	0.000000	0.225335	0.280225	0.000000	0.000000
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.261034	0.226935	0.726391	0.000000	0.000000	0.131930	0.175907	0.000000	0.000000
1962	0.000000	0.334103	0.402501	0.000000	0.362218	0.000000	0.199291	0.275457	0.000000	0.000000
1963	0.000000	0.251141	0.158848	0.000000	0.000000	0.000000	0.000000	0.086907	0.000000	0.000000
1964	0.000000	0.234910	0.525015	0.000000	0.719399	0.000000	0.216324	-0.009426	0.000000	0.000000
1965	0.000000	0.173917	0.397690	0.000000	0.540178	0.000000	0.222352	0.056361	0.000000	0.701125
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.000000	0.222549	0.203407	0.000000	0.000000	0.000000	0.238700	-0.014383	0.000000	0.000000
1968	0.000000	0.158414	0.397197	0.000000	0.000000	0.000000	0.217719	0.068371	0.000000	0.067327
1969	0.000000	0.080204	0.199795	0.000000	0.000000	0.000000	0.149921	0.099175	0.000000	0.000000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.000000	0.162327	0.202101	0.000000	0.000000	0.000000	0.320341	0.333030	0.000000	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.215448	0.117655	0.000000	0.000000	0.000000	0.013094	0.308264	0.000000	0.119388
1984	0.000000	0.135267	0.197422	0.000000	0.000000	0.000000	0.177731	0.189405	0.000000	0.101483
1985	0.000000	-0.018454	0.109503	0.000000	0.000000	0.000000	0.150575	-0.041315	0.703959	0.158570
1986	0.000000	0.243948	0.206930	0.000000	0.000000	0.000000	0.158780	0.188989	0.000000	0.251096
1987	0.000000	0.211000	0.249396	0.000000	0.000000	0.000000	0.113823	0.000578	0.000000	0.118162
1988	0.819182	0.294900	0.233384	0.000000	0.000000	0.000000	0.267925	0.241761	0.000000	0.179264
1989	0.000000	0.341679	0.140929	0.000000	0.000000	0.000000	0.094821	0.223511	0.000000	0.133498
1990	0.000000	0.399818	0.142166	0.000000	0.000000	0.000000	0.056779	0.198594	0.000000	0.271580
1991	0.000000	0.472648	0.268428	0.000000	0.000000	0.000000	0.195635	-0.029455	0.000000	0.325242
1992	0.000000	0.478312	0.441555	0.000000	0.000000	0.000000	0.195262	0.251073	0.000000	0.109771
1993	0.000000	0.518858	0.302139	0.000000	0.000000	0.000000	0.209344	0.203184	0.000000	0.274451
1994	0.000000	0.548883	0.265752	0.000000	0.000000	0.000000	0.237508	0.111294	0.000000	0.131315
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.000000	0.347993	0.159960	0.000000	0.000000	0.000000	0.208386	0.057216	0.000000	0.205763
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.000000	0.311939	0.287891	0.000000	0.000000	0.714912	0.712995	0.708533	0.000000	0.252684
1999	0.000000	0.249946	0.215224	0.000000	0.000000	0.000000	0.380399	0.520675	0.000000	0.006728
2000	0.000000	0.412397	0.309086	0.000000	0.000000	0.000000	0.350083	0.361775	0.000000	0.108382
2001	0.000000	0.075027	0.229592	0.000000	0.000000	0.000000	0.168132	0.455863	0.000000	-0.008888
2002	0.000000	0.303495	0.216021	0.000000	0.000000	0.000000	0.268304	0.371933	0.000000	0.282610
2003	0.000000	0.435867	0.202305	0.000000	0.000000	0.000000	0.213476	0.227487	0.706719	0.190702
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
