Year	massimo tavanti	rifondazione	roberto grignolo	forlani	fini	roberto cappellini	pier carlo fabbio	alberto zanone	orestlade	luca attucci
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	-0.013032	0.000000	-0.116582	-0.042844	0.000000	0.000000	0.000000	0.000000	0.000000
1984	0.000000	0.023061	0.000000	0.044957	0.032021	0.000000	0.000000	0.000000	-0.042261	0.000000
1985	0.000000	-0.009901	0.000000	0.134912	0.120620	0.000000	0.000000	0.000000	0.000000	0.000000
1986	0.000000	0.071735	0.000000	0.146574	0.030156	0.000000	0.000000	0.000000	0.000000	0.000000
1987	0.000000	0.141730	0.000000	0.060318	0.050636	0.000000	0.000000	0.000000	0.000000	0.000000
1988	0.000000	0.041894	0.000000	-0.081257	0.114884	0.000000	0.000000	0.000000	0.000000	0.000000
1989	0.000000	-0.060495	0.000000	0.217468	0.122015	0.000000	0.000000	0.000000	0.000000	0.000000
1990	0.594260	0.098395	0.000000	0.280342	0.117095	0.448177	0.000000	0.000000	0.000000	0.000000
1991	0.756827	0.394617	0.000000	0.397371	0.040784	0.000000	0.000000	0.000000	0.000000	0.000000
1992	0.838603	0.466621	0.443341	0.355658	-0.035791	0.769567	0.000000	0.000000	0.000000	0.000000
1993	0.632056	0.320726	0.272891	0.255137	0.063447	0.263881	0.767703	0.301131	0.000000	0.186107
1994	0.000000	0.109294	0.776256	0.169784	0.011399	0.000000	0.000000	0.766231	0.758921	0.758160
1995	0.000000	0.006328	0.302789	0.045385	-0.020935	0.000000	0.000000	0.000000	0.000000	0.000000
1996	0.000000	0.004863	0.287908	0.212380	0.128136	0.000000	0.000000	0.000000	0.000000	0.000000
1997	0.000000	-0.008910	0.504284	0.261167	0.000534	0.000000	0.000000	0.000000	0.000000	0.000000
1998	0.000000	-0.015206	0.000000	0.175303	-0.020713	0.000000	0.000000	0.000000	0.000000	0.000000
1999	0.000000	0.161366	0.233381	0.343289	0.195024	0.000000	0.000000	0.000000	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	-0.021553	0.000000	0.342453	-0.113620	0.000000	0.000000	0.000000	0.000000	0.000000
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.000000	0.099922	0.000000	0.373673	0.039571	0.000000	0.000000	0.000000	0.000000	0.000000
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
