Year	renato acquarone	francesco saluzzo	saverio borrelli	pietro giammanco	mariano gagliano	palermo caselli	vigna	coirò	carli	luciano scalia
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.000000	0.000000	0.000000	0.000000	0.441160	0.000000	0.180394	0.259402	0.255089	0.000000
1985	0.000000	0.652087	0.000000	0.000000	0.000000	0.000000	0.167807	0.277349	0.244399	0.000000
1986	0.000000	0.385449	0.000000	0.000000	0.520249	0.000000	0.156228	0.227374	0.256511	0.000000
1987	0.000000	0.000000	0.000000	0.000000	0.400136	0.000000	0.153069	0.253820	0.122752	0.000000
1988	0.000000	0.371863	0.000000	0.000000	0.000000	0.000000	0.092690	0.266284	0.096888	0.000000
1989	0.000000	0.449196	0.000000	0.675929	0.000000	0.000000	0.239652	0.256267	0.084628	0.319378
1990	0.000000	0.509224	0.277775	0.272867	0.000000	0.000000	0.198830	0.322844	0.002106	0.473701
1991	0.000000	0.490018	0.000000	0.535823	0.000000	0.000000	0.041139	0.488855	-0.025623	0.608179
1992	0.683656	0.000000	0.742917	0.835171	0.000000	0.000000	0.115488	0.407112	0.334862	0.830022
1993	0.715070	0.763345	0.661846	0.000000	0.000000	0.641053	0.159889	0.128182	0.328334	0.814095
1994	0.853019	0.841534	0.683001	0.000000	0.000000	0.681028	0.280856	0.474523	0.208317	0.828546
1995	0.662605	0.521007	0.000000	0.000000	0.000000	0.659185	0.162888	0.205116	0.296081	0.681336
1996	0.862111	0.000000	0.740000	0.000000	0.836865	0.559898	0.215183	0.478719	0.299389	0.000000
1997	0.806152	0.000000	0.779355	0.000000	0.829758	0.832039	0.200321	0.430584	0.339021	0.000000
1998	0.600466	0.000000	0.837311	0.000000	0.723376	0.702252	0.070381	0.265800	0.273761	0.000000
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
