Year	luigi carli	renato acquarone	carli	roberto fava	maria luisa dameno	schiavone	ugo giudiceandrea	russo	boccia	celesti
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.358823	0.000000	0.076696	0.000000	0.000000	0.079042	0.000000	0.123485	0.270816	-0.083503
1985	0.443485	0.000000	0.446289	0.000000	0.000000	0.319075	0.000000	0.178548	0.349759	-0.119091
1986	0.481987	0.000000	0.206580	0.000000	0.000000	0.139415	0.000000	0.040222	0.223862	-0.029122
1987	0.000000	0.000000	0.125778	0.000000	0.000000	0.200123	0.000000	0.222814	0.150453	-0.176865
1988	0.000000	0.000000	0.117112	0.776338	0.000000	0.270783	0.000000	0.208874	-0.102606	-0.058936
1989	0.000000	0.000000	0.171682	0.653542	0.000000	0.260242	0.710562	0.124361	0.008856	0.378904
1990	0.000000	0.000000	0.123238	0.000000	0.000000	0.443130	0.799564	0.260994	0.028509	0.186138
1991	0.000000	0.000000	0.085227	0.590342	0.000000	0.342867	0.677632	0.330052	0.073841	0.059990
1992	0.791193	0.781834	0.284619	0.656087	0.773114	0.259979	0.638610	0.319075	0.046234	0.271914
1993	0.642834	0.669030	0.402757	0.590737	0.000000	0.253797	0.000000	0.278136	0.104397	-0.103588
1994	0.578246	0.646293	0.148223	0.000000	0.000000	0.183556	0.000000	0.148890	0.135197	-0.002655
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.537769	0.470002	0.369669	0.000000	0.000000	0.260059	0.000000	0.277013	0.201629	-0.012932
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
