Year	brosio	molinar	garbagnati	manlio vinei	virgilio bellone	pierluigi dell' osso	sanerò	bruno martinetti	marghe	viét
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.415424	0.284225	0.234087	0.000000	0.000000	0.000000	0.389080	0.000000	0.123925	0.000000
1966	-0.056080	0.232831	0.000000	0.000000	0.000000	0.000000	0.141476	0.000000	0.081261	0.000000
1967	0.084234	0.704203	0.253367	0.000000	0.000000	0.000000	0.455494	0.000000	0.128011	0.000000
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.166436	0.315388	0.000000	0.000000	0.000000	0.000000	0.379430	0.000000	0.190088	0.000000
1974	0.257508	0.173265	0.000000	0.000000	0.000000	0.000000	0.293991	0.000000	0.000000	0.000000
1975	0.112168	0.000000	0.000000	0.000000	0.402403	0.000000	0.179457	0.000000	-0.059222	0.000000
1976	0.162378	0.204130	0.000000	0.000000	0.441739	0.000000	0.202530	0.000000	0.150300	0.000000
1977	0.279870	0.232426	0.386880	0.000000	0.684237	0.000000	0.227680	0.000000	0.179812	0.253782
1978	0.194307	0.230980	0.238803	0.000000	0.362980	0.000000	0.435207	0.000000	0.119895	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.345019	0.461017	0.687713	0.686584	0.000000	0.682685	0.681294	0.681204	0.681125	0.680199
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	-0.078135	0.190866	0.012997	0.000000	0.000000	0.089064	0.201453	0.000000	-0.137047	0.000000
1983	0.058591	0.122685	0.170303	0.000000	0.000000	0.000000	0.075545	0.000000	0.076168	0.000000
1984	-0.005464	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023192	0.000000	-0.044244	0.000000
1985	-0.105080	0.055654	0.000000	0.000000	0.000000	0.067602	0.066217	0.000000	0.000000	0.000000
1986	0.252225	0.229094	0.182632	0.000000	0.000000	0.000000	0.370056	0.000000	0.130859	0.000000
1987	0.105687	-0.005539	0.000000	0.000000	0.000000	0.000000	0.128424	0.000000	0.000000	0.000000
1988	0.241296	0.146478	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.209047	0.000000
1989	0.159458	0.143039	0.105831	0.000000	0.000000	0.000000	0.207263	0.000000	0.188737	0.000000
1990	0.013592	-0.032837	0.000000	0.000000	0.000000	0.000000	-0.082365	0.000000	-0.068612	0.000000
1991	0.029309	0.066291	0.000000	0.000000	0.000000	0.000000	0.287361	0.000000	0.036159	0.000000
1992	0.191471	-0.000687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.085609	-0.105001	0.060571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
