Year	signor	rafael fruehbeck de burgos	serge baudo	mllan horvat	zoltan pesko	piero sansonetti	riccardo muti	fabrizio m. carminati	marcello viotti	giorgio bernasconi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.284683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.361686	0.000000	0.000000	0.000000	0.419124	0.000000	0.000000	0.000000	0.000000	0.000000
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.363912	0.000000	0.000000	0.000000	0.677062	0.000000	0.686457	0.000000	0.000000	0.000000
1982	0.191709	0.000000	0.000000	0.000000	0.494856	0.000000	0.451751	0.000000	0.000000	0.000000
1983	0.147842	0.589886	0.000000	0.000000	0.583530	0.000000	0.596258	0.000000	0.000000	0.000000
1984	0.250800	0.000000	0.000000	0.813964	0.000000	0.000000	0.722094	0.000000	0.616931	0.784663
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.241989	0.000000	0.000000	0.000000	0.470837	0.000000	0.530790	0.000000	0.487088	0.000000
1987	0.252054	0.000000	0.698667	0.000000	0.672597	0.000000	0.634663	0.000000	0.684635	0.000000
1988	0.464346	0.823567	0.820360	0.000000	0.804838	0.000000	0.800554	0.000000	0.788599	0.652694
1989	0.416321	0.528530	0.000000	0.000000	0.000000	0.000000	0.553205	0.000000	0.579924	0.000000
1990	0.319566	0.000000	0.000000	0.000000	0.704667	0.570489	0.701502	0.000000	0.000000	0.000000
1991	0.385576	0.000000	0.641298	0.000000	0.000000	0.662192	0.652400	0.000000	0.000000	0.000000
1992	0.166433	0.000000	0.000000	0.000000	0.000000	0.803508	0.624586	0.000000	0.000000	0.000000
1993	0.191610	0.000000	0.000000	0.000000	0.000000	0.000000	0.597433	0.000000	0.000000	0.000000
1994	0.340340	0.000000	0.000000	0.000000	0.000000	0.000000	0.710708	0.770370	0.000000	0.000000
1995	0.171823	0.000000	0.000000	0.000000	0.000000	0.000000	0.462448	0.000000	0.000000	0.000000
1996	0.219078	0.000000	0.000000	0.000000	0.000000	0.000000	0.619484	0.809295	0.000000	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.090443	0.000000	0.000000	0.000000	0.000000	0.000000	0.505889	0.000000	0.000000	0.000000
1999	0.288879	0.000000	0.000000	0.000000	0.000000	0.000000	0.313837	0.000000	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
