Year	cecchini	botta	morra	frida malan	magnano	dotti	picchioni	ing	fantino	bozzello
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	-0.022597	0.238087	0.181862	0.796073	0.378833	0.355802	0.742720	0.302987	0.203583	0.504436
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.066281	-0.170759	0.034851	0.000000	0.312645	0.238580	0.567919	0.322449	0.189116	0.379139
1972	0.147127	0.131008	0.100925	0.511943	0.433598	0.218578	0.474358	0.182602	0.191713	0.421026
1973	0.270504	-0.020500	0.223213	0.000000	0.312538	0.160411	0.644913	0.242931	0.124331	0.381986
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.093920	-0.061526	0.221982	0.368308	0.237067	0.146418	0.299080	0.192981	0.140525	0.323325
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.167954	-0.056455	0.140843	0.000000	0.380466	0.128668	0.296555	0.219546	0.110299	0.358203
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.063811	-0.107893	0.151505	0.000000	0.358195	0.115400	0.265446	0.347255	0.136012	0.286386
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	-0.207210	0.192312	0.167902	0.000000	0.268386	0.094684	0.421978	0.208168	0.060745	0.474374
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.116358	0.053392	0.168885	0.000000	0.221431	0.014674	0.000000	0.198976	0.013559	0.328806
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
