Year	mauro mazza	massimo de bernart	gullno	guido davico bonino	elio pipino	fuwa	giovanni tantillo	riccardo muti	enrico richeri	de ferrari
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.000000	0.000000	0.338659	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.000000	0.000000	0.683340	0.000000	0.000000	0.000000	0.000000	0.505116	0.000000	0.000000
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.391486	0.000000	0.000000
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.000000	0.052207	0.253951	0.000000	0.000000	0.000000	0.285052	0.000000	0.000000
1984	0.000000	0.352345	0.086573	0.000000	0.000000	0.000000	0.000000	0.316689	0.000000	0.000000
1985	0.000000	0.000000	0.155884	0.279652	0.000000	0.000000	0.000000	0.433422	0.000000	0.000000
1986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.239383	0.000000	0.000000
1987	0.000000	0.000000	0.173925	0.353356	0.000000	0.000000	0.000000	0.448958	0.000000	0.000000
1988	0.000000	0.000000	0.000000	0.222652	0.000000	0.000000	0.000000	0.320867	0.000000	0.000000
1989	0.000000	0.379605	0.000000	0.000000	0.677449	0.676918	0.000000	0.432665	0.670334	0.669720
1990	0.000000	0.425490	0.000000	0.276977	0.000000	0.000000	0.000000	0.521867	0.366751	0.000000
1991	0.000000	0.000000	0.000000	0.254054	0.000000	0.000000	0.000000	0.412635	0.000000	0.000000
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.000000	0.434125	0.000000	0.000000	0.000000	0.000000	0.000000	0.517225	0.000000	0.000000
1994	0.000000	0.685404	0.000000	0.682470	0.000000	0.000000	0.000000	0.670837	0.000000	0.000000
1995	0.000000	0.392370	0.000000	0.500242	0.000000	0.000000	0.000000	0.417757	0.100624	0.000000
1996	0.000000	0.000000	0.000000	0.436079	0.000000	0.000000	0.674921	0.503520	0.000000	0.000000
1997	0.000000	0.289905	0.000000	0.174330	0.000000	0.000000	0.205852	0.231504	0.000000	0.080462
1998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.310880	0.349459	0.000000	0.231625
1999	0.000000	0.000000	0.000000	0.360614	0.000000	0.000000	0.000000	0.212918	0.000000	0.307926
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.227750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.377613	0.000000	0.000000
2003	0.716160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.496050	0.000000	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
