Year	diego curtò	alfredo carlo moro	marangio	lacquaniti	istrut	﻿interviene	franco gamba	adriano sansa	ugo genesio	michele morello
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.000000	0.000000	0.442942	0.431328	0.000000	0.000000	0.000000	0.000000	0.000000
1971	0.000000	0.000000	0.000000	0.315780	0.271918	0.000000	0.000000	0.000000	0.000000	0.000000
1972	0.000000	0.000000	0.000000	0.402379	0.376699	0.000000	0.000000	0.000000	0.000000	0.000000
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.748922	0.738502	0.714002	0.000000	0.000000	0.000000	0.000000	0.000000
1976	0.000000	0.000000	0.271906	0.473243	0.286376	0.000000	0.000000	0.000000	0.000000	0.000000
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.000000	0.000000	0.168524	0.373534	0.398824	0.275939	0.000000	0.000000	0.000000	0.000000
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.000000	0.171293	0.000000	0.411264	0.275328	0.000000	0.000000	0.000000	0.000000
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.000000	0.000000	0.000000	0.335268	0.000000	0.000000	0.000000	0.000000	0.000000
1983	0.000000	0.000000	-0.012920	0.000000	0.193811	0.000000	0.000000	0.000000	0.000000	0.000000
1984	0.000000	0.000000	0.000000	0.000000	0.109123	0.491490	0.000000	0.000000	0.000000	0.000000
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1986	0.000000	0.000000	0.000000	0.000000	0.000000	0.272971	0.000000	0.000000	0.000000	0.000000
1987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.713319	0.000000	0.000000	0.000000	0.000000
1989	0.000000	0.761064	0.189263	0.000000	0.348732	0.425601	0.000000	0.000000	0.000000	0.000000
1990	0.000000	0.000000	0.084292	0.126072	0.000000	0.301490	0.000000	0.000000	0.000000	0.000000
1991	0.000000	0.000000	0.168613	0.021698	0.133827	0.391668	0.000000	0.000000	0.000000	0.000000
1992	0.000000	0.000000	0.000000	0.199198	0.000000	0.212149	0.000000	0.000000	0.000000	0.700641
1993	0.799645	0.000000	0.202243	0.194917	0.000000	0.211809	0.710600	0.709752	0.000000	0.000000
1994	0.000000	0.000000	0.128837	0.245194	0.000000	0.387399	0.000000	0.000000	0.000000	0.000000
1995	0.000000	0.000000	0.122913	-0.029488	0.000000	0.280862	0.000000	0.000000	0.708794	0.000000
1996	0.000000	0.000000	0.327355	0.196281	0.000000	0.282806	0.000000	0.000000	0.000000	0.000000
1997	0.000000	0.000000	0.190476	0.000000	0.000000	0.001944	0.000000	0.243263	0.000000	0.000000
1998	0.000000	0.000000	0.020310	0.000000	0.000000	0.008949	0.000000	0.000000	0.000000	0.000000
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.000000	0.000000	-0.004527	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2003	0.000000	0.000000	0.286895	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
