Year	savino pezzetta	uilm	nanni tosco	guglielmo epifani	follini	roberto di maulo	paolo serventi longhi	luigi angeletti	fiom	giorgio caprioli
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.435896	0.206388	0.511548	0.390622	0.255633	0.000000	0.389959	0.531798	0.232000	0.522474
2002	0.638449	0.498062	0.667110	0.664239	0.344794	0.549457	0.639726	0.690104	0.523755	0.653196
2003	0.782707	0.498877	0.775793	0.775329	0.298866	0.770780	0.762426	0.766942	0.561114	0.670558
2004	0.573224	0.539175	0.544264	0.761041	0.205088	0.755166	0.598679	0.792494	0.597735	0.562579
2005	0.627962	0.584453	0.632188	0.632060	0.234424	0.695812	0.600944	0.722810	0.632074	0.742636
