Year	mauro paissan	livia turco	luciano violante	alfonso pecoraro scanio	piero ferrarese	cavalchimi	agostino ghiglia	giuseppe giulietti	mauro marino	chiarente
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.000000	0.000000	0.000000	0.000000	0.604471	0.000000	0.000000	0.000000	0.000000	0.324192
1989	0.000000	0.000000	0.187533	0.000000	0.125428	0.000000	0.000000	0.000000	0.000000	0.097466
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.732512	0.634722	0.627839	0.619562	0.000000	0.599037	0.586180	0.583479	0.582859	0.581798
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
