Year	umberto dianzani	pietro teggi	beppe briola	ercole zanello	ilario viano	tullio regge	rodolfo zich	bertolino	don elio scotti	alberto conte
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.546835	0.000000	0.000000	0.000000	0.000000	0.401861	0.701168	0.161204	0.665324	0.000000
1989	0.799498	0.000000	0.000000	0.740144	0.000000	0.269210	0.685820	0.426012	0.000000	0.000000
1990	0.782654	0.000000	0.000000	0.000000	0.000000	0.000000	0.704144	0.324443	0.000000	0.000000
1991	0.525378	0.000000	0.000000	0.000000	0.000000	0.000000	0.805132	0.244339	0.000000	0.689871
1992	0.432613	0.000000	0.000000	0.000000	0.000000	0.000000	0.665259	0.134224	0.000000	0.466063
1993	0.000000	0.000000	0.757002	0.000000	0.000000	0.000000	0.798060	0.280106	0.719230	0.465373
1994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.634916	0.189048	0.000000	0.607428
1995	0.478270	0.000000	0.287143	0.000000	0.000000	0.724487	0.683244	0.148495	0.000000	0.466848
1996	0.789526	0.000000	0.000000	0.000000	0.000000	0.000000	0.736686	0.424799	0.000000	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.000000	0.000000	0.000000	0.000000	0.721661	0.000000	0.711148	0.412013	0.000000	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.775331	0.000000	0.644740	0.300786	0.000000	0.000000
2000	0.000000	0.000000	0.000000	0.000000	0.638599	0.000000	0.536947	0.364259	0.000000	0.000000
2001	0.000000	0.776835	0.000000	0.000000	0.782399	0.000000	0.768877	0.570494	0.000000	0.000000
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
