Year	francesco caviglia	mirko menegatti	lorenzo barlassina	lino evaspasiano	claudio sordi	nando donati	nando statti	eugenio torrione	barlassina	fossati
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.000000	0.000000	0.669645	0.000000	0.000000	0.000000	0.000000	0.000000	0.327577	0.301625
1989	0.000000	0.000000	0.719023	0.652393	0.000000	0.000000	0.000000	0.000000	0.440008	0.214238
1990	0.000000	0.000000	0.658961	0.872544	0.000000	0.000000	0.769249	0.000000	0.424150	0.215160
1991	0.000000	0.000000	0.739414	0.000000	0.782357	0.000000	0.862840	0.000000	0.390021	0.329438
1992	0.000000	0.000000	0.881917	0.000000	0.866912	0.000000	0.000000	0.000000	0.481911	0.315501
1993	0.880705	0.000000	0.863192	0.000000	0.830564	0.000000	0.735645	0.860669	0.532082	0.182293
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.763324	0.000000	0.625877	0.000000	0.668028	0.857572	0.811710	0.000000	0.353684	0.037579
1996	0.686636	0.873947	0.000000	0.000000	0.000000	0.871089	0.908259	0.000000	0.355624	0.147571
1997	0.630711	0.000000	0.000000	0.000000	0.000000	0.000000	0.704792	0.000000	0.400213	0.152285
1998	0.000000	0.000000	0.477839	0.000000	0.000000	0.000000	0.742629	0.000000	0.450817	0.257042
1999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.605627	0.000000	0.070651	0.026385
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
