Year	monfermoso	benvenuto	angelo corderà	franco bielli	lavoyer	fausto governato	elena sassone	piero ferraris	vizzini	giancarlo borromeo
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.000000	0.214223	0.645920	0.765897	0.381659	0.000000	0.000000	0.000000	0.301550	0.000000
1989	0.000000	0.240316	0.767947	0.571625	0.414739	0.000000	0.000000	0.000000	0.352710	0.000000
1990	0.000000	0.199197	0.693863	0.629637	0.346023	0.000000	0.000000	0.000000	0.286350	0.000000
1991	0.000000	0.273412	0.483131	0.542863	0.430188	0.000000	0.000000	0.000000	0.235152	0.000000
1992	0.000000	0.147647	0.000000	0.000000	0.374290	0.000000	0.000000	0.000000	0.439198	0.000000
1993	0.285905	0.416091	0.427174	0.000000	0.535842	0.000000	0.000000	0.751557	0.395264	0.000000
1994	0.229570	0.167057	0.000000	0.000000	0.325522	0.000000	0.000000	0.427952	0.266524	0.513926
1995	0.081749	0.202856	0.000000	0.000000	0.376663	0.000000	0.000000	0.382798	0.281793	0.536072
1996	0.276429	0.082037	0.000000	0.000000	0.457113	0.000000	0.000000	0.241581	0.159396	0.747721
1997	0.127546	0.069236	0.000000	0.000000	0.396100	0.000000	0.000000	0.293546	0.105962	0.606682
1998	0.154395	0.089962	0.000000	0.000000	0.234597	0.000000	0.000000	0.296037	0.110405	0.000000
1999	0.405130	0.139832	0.000000	0.000000	0.364308	0.000000	0.419505	0.513482	0.190776	0.000000
2000	0.452576	0.166768	0.000000	0.000000	0.373777	0.760847	0.755578	0.726798	0.000000	0.000000
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
