Year	massimo trogu	piero giovannone	perone	debenedetti	gianni berrino	ambiente	gianni benino	monica zioni	pennino	luigi martinoli
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	-0.052946	-0.044776	0.000000	-0.094159	0.000000	0.000000	0.180835	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.534247	0.000000	0.272159	0.355700	0.000000	0.114837	0.000000	0.000000	0.033881	0.000000
1996	0.452792	0.400860	0.396518	0.431444	0.524287	0.146944	0.000000	0.565442	-0.064852	0.000000
1997	0.786634	0.396965	0.452316	0.407817	0.496979	0.171245	0.386287	0.374181	0.140915	0.673312
1998	0.609322	0.000000	0.506690	0.305837	0.572443	0.233741	0.748365	0.613348	0.447541	0.768527
1999	0.000000	0.000000	0.430623	0.299378	0.757932	0.131407	0.708158	0.747136	0.465520	0.722134
2000	0.000000	0.000000	0.232346	0.259727	0.545775	0.189435	0.000000	0.579844	0.426727	0.657977
2001	0.000000	0.000000	0.259514	0.308354	0.000000	0.207434	0.000000	0.449701	0.410064	0.379479
2002	0.000000	0.000000	-0.069590	0.112267	0.000000	0.065714	0.000000	0.378150	0.313065	0.000000
2003	0.000000	0.567496	0.213526	0.309788	0.000000	0.396887	0.000000	0.000000	0.175364	0.000000
2004	0.000000	0.561276	0.103127	0.124987	0.000000	0.267029	0.000000	0.000000	0.084669	0.000000
2005	0.000000	0.771354	0.234688	0.247036	0.000000	0.114107	0.000000	0.000000	0.337039	0.000000
