Year	b. campanella	d. oren	ivo chiesa	c. badea	eliahu inbal	fabrizio maria carminati	bruno bartoletti	raitre angelo guglielmi	sheridan	donato renzetti
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.000000	0.000000	0.410528	0.000000	0.000000	0.000000	0.348072	0.000000	0.080045	0.000000
1982	0.000000	0.000000	0.213149	0.000000	0.000000	0.000000	0.267643	0.000000	-0.004411	0.000000
1983	0.000000	0.000000	0.304359	0.000000	0.000000	0.000000	0.147123	0.000000	0.056633	0.291178
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.413323	0.000000	0.303846	0.000000
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.355515	0.000000	0.000000	0.000000	0.000000	0.254241	0.435990	0.290743
1988	0.312256	0.000000	0.260919	0.000000	0.000000	0.000000	0.000000	0.156117	0.300963	0.388216
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.000000	0.000000	0.301369	0.000000	0.000000	0.000000	0.000000	0.318951	0.269684	0.000000
1991	0.000000	0.000000	0.431058	0.000000	0.000000	0.000000	0.513522	0.407725	0.217736	0.000000
1992	0.000000	0.000000	0.391399	0.000000	0.000000	0.000000	0.000000	0.429576	0.066417	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.796260	0.789330	0.779827	0.000000	0.000000	0.754817	0.753200	0.747819	0.148656	0.746178
1995	0.000000	0.000000	0.586722	0.000000	0.000000	0.672050	0.000000	0.000000	0.212314	0.000000
1996	0.000000	0.000000	0.609080	0.000000	0.532287	0.574508	0.000000	0.000000	0.332840	0.575800
1997	0.000000	0.000000	0.000000	0.772468	0.766664	0.000000	0.000000	0.000000	0.147557	0.000000
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.000000	0.000000	0.238720	0.000000	0.105616	0.000000	0.000000	0.000000	-0.032085	0.000000
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.451623	0.000000	0.109046	0.000000
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
