Year	quaglino	giovanni sacco	clagluna	giacomini	de sisti	oscar massei	marchesi	prandi	bagnoli	mazzone
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.348448	0.741104	0.000000	0.415938	0.650858	0.606711	0.375234	0.289211	0.387855	0.516791
1982	0.152484	0.765273	0.410839	0.360585	0.750295	0.749197	0.381457	0.318730	0.212680	0.504161
1983	0.166318	0.307310	0.404504	0.194439	0.442713	0.592120	0.303052	0.279506	0.321487	0.414508
1984	0.307429	0.000000	0.365788	0.314675	0.605503	0.000000	0.281976	0.323975	0.227956	0.338482
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.188402	0.584052	0.214825	0.263319	0.439545	0.000000	0.102710	0.193700	0.094702	0.291774
1988	0.293401	0.539285	0.247491	0.236404	0.000000	0.000000	0.162939	0.249168	0.040386	0.192863
1989	0.187373	0.415155	0.336869	0.297542	0.000000	0.000000	0.096026	0.267867	0.062388	0.248678
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.299121	0.000000	0.000000	0.080216	0.000000	0.000000	0.075919	0.043751	0.043823	0.089979
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.315685	0.117476	0.180948	0.132234	0.000000	0.000000	0.031536	0.101556	0.083872	0.101544
1994	0.124525	0.065582	0.000813	0.077152	0.000000	0.000000	0.064135	0.133135	0.161846	0.097508
1995	0.012547	0.458700	0.271351	0.210737	0.000000	0.000000	0.020141	0.073685	0.261218	0.143538
1996	0.048932	0.000000	0.000000	0.187618	0.000000	0.000000	0.092409	0.285613	0.238488	0.347223
1997	0.429728	0.000000	0.000000	0.370714	0.000000	0.000000	0.191063	0.220962	0.166878	0.329302
1998	0.139416	0.000000	0.000000	0.068852	0.000000	0.000000	0.035724	-0.063881	-0.109084	-0.073969
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
