Year	giampaolo fabris	0116680734	info:0141	337324547	matilde calandri	019.677.699	gallino	339.189.5414	carlo maria martini	graziella ansaldo
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.196478	0.000000	0.000000	0.000000
1981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.489486	0.000000	0.000000	0.000000
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.248114	0.000000	0.322149	0.000000
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.418591	0.000000	0.210108	0.000000
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.417715	0.000000	0.370916	0.000000
1989	0.756591	0.000000	0.000000	0.000000	0.000000	0.000000	0.510972	0.000000	0.165199	0.000000
1990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.375579	0.000000	0.720450	0.000000
1991	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.574692	0.000000	0.322404	0.000000
1992	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447662	0.000000	0.522708	0.000000
1993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.434168	0.000000	0.265205	0.000000
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.305694	0.000000	0.304161	0.000000
1997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.327151	0.000000	0.257300	0.000000
1998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.437675	0.000000	0.301948	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.271945	0.000000	0.290167	0.000000
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.113231	0.000000	0.261700	0.000000
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.213611	0.000000	0.259022	0.719927
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.435739	0.000000	0.000000	0.000000
2004	0.000000	0.751126	0.734102	0.733100	0.732646	0.725422	0.330117	0.721588	0.000000	0.000000
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
