Year	marzia saini	paolo rastelli	vernetti	agostino carnevale	baffert	gaetano scullino	luciano bistaffa	principe	cerchio	migliasso
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.000000	0.000000	0.371275	0.000000	0.000000	0.000000	0.000000	0.012937	0.027752	0.502173
1982	0.000000	0.000000	0.319937	0.000000	0.000000	0.000000	0.000000	0.006677	0.027337	0.373702
1983	0.000000	0.000000	0.382790	0.000000	0.000000	0.000000	0.000000	0.109356	0.086524	0.525022
1984	0.000000	0.000000	0.354385	0.000000	0.000000	0.000000	0.000000	-0.037519	0.120033	0.441955
1985	0.000000	0.000000	0.167616	0.000000	0.232521	0.000000	0.000000	-0.009865	-0.028253	0.333449
1986	0.000000	0.000000	0.319709	0.000000	0.360596	0.000000	0.000000	0.150355	0.004440	0.404846
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.000000	0.063881	0.256987	0.000000	0.000000	0.000000	0.107890	-0.140244	0.170546
1992	0.422418	0.000000	0.187989	0.374757	0.000000	0.000000	0.000000	0.141686	0.223238	0.217314
1993	0.783614	0.780147	0.406076	0.763555	0.411113	0.758596	0.584253	-0.050627	0.122582	0.210922
1994	0.000000	0.646410	0.515839	0.311833	0.432381	0.348987	0.728862	-0.016008	0.075690	0.448276
1995	0.000000	0.444105	0.366843	0.495068	0.501770	0.000000	0.775433	-0.085288	-0.046168	0.312755
1996	0.000000	0.606417	0.320857	0.514075	0.414806	0.000000	0.655586	-0.030041	-0.120546	0.255837
1997	0.000000	0.402773	0.320615	0.000000	0.393377	0.000000	0.000000	0.057542	0.017559	0.314337
1998	0.000000	0.000000	0.323660	0.000000	0.128310	0.518062	0.000000	0.048857	0.087109	0.308208
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.000000	0.000000	0.207020	0.000000	0.000000	0.000000	0.000000	0.164726	0.029044	0.360740
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
