Year	luigi francesco meloni	maria del savio bonaudo	guido papalia	monetti	ennio fortuna	renato acquarone	pajno	maurizio laudi	berti	alberto oggè
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.000000	0.000000	0.000000	0.185147	0.000000	0.000000	0.227686	0.000000	0.159273	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.823373	0.000000	0.000000	0.306506	0.000000	0.000000	0.319633	0.000000	-0.022803	0.000000
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.000000	0.000000	0.000000	0.128510	0.000000	0.000000	0.363075	0.000000	0.031875	0.000000
1989	0.000000	0.000000	0.000000	0.225801	0.000000	0.000000	0.460713	0.433990	0.087758	0.000000
1990	0.000000	0.000000	0.000000	0.146464	0.000000	0.000000	0.430820	0.000000	-0.009617	0.000000
1991	0.000000	0.000000	0.000000	0.322028	0.000000	0.000000	0.419557	0.000000	0.067594	0.000000
1992	0.000000	0.000000	0.000000	0.319517	0.000000	0.569555	0.000000	0.000000	0.096662	0.000000
1993	0.000000	0.000000	0.514420	0.177572	0.000000	0.530655	0.231346	0.000000	0.139963	0.000000
1994	0.000000	0.000000	0.000000	0.302849	0.000000	0.493744	0.365070	0.634310	-0.018934	0.625557
1995	0.000000	0.000000	0.000000	0.482308	0.000000	0.508095	0.000000	0.620702	0.034353	0.661857
1996	0.000000	0.793484	0.000000	0.295283	0.691379	0.768067	0.000000	0.739777	0.248679	0.798143
1997	0.000000	0.677229	0.765938	0.550665	0.749689	0.730502	0.000000	0.611745	0.182656	0.744834
1998	0.537132	0.642105	0.484718	0.263434	0.000000	0.544987	0.000000	0.554894	0.003940	0.735464
1999	0.000000	0.545998	0.000000	0.231390	0.000000	0.000000	0.376044	0.417375	0.194448	0.508745
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
