Year	silvio carrara sutour	a.mo	loredana gemelli	telof	bruno di giovanni	1167555888	donato cangiano	elio paleologo	guido viola	lageard
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.540632	0.000000	0.468569
1986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.414511
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.800464	0.000000	0.780540	0.000000	0.766360	0.000000	0.764186	0.761271	0.759408	0.474978
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.000000	0.781108	0.423141	0.773547	0.464464	0.764351	0.000000	0.000000	0.000000	0.404928
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
