Year	vinicio capossela	gianmaria testa	franco battiato	massimo bubola	vasco rossi	francesco guccini	giorgio conte	alex britti	roberto vecchioni	biagio antonacci
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.000000	0.000000	0.000000	0.000000	0.000000	0.362250	0.000000	0.000000	0.230286	0.000000
1991	0.000000	0.280307	0.000000	0.000000	0.000000	0.320920	0.000000	0.000000	0.397349	0.412198
1992	0.000000	0.000000	0.494770	0.000000	0.000000	0.000000	0.000000	0.000000	0.449854	0.000000
1993	0.574319	0.000000	0.000000	0.000000	0.652795	0.652541	0.714387	0.000000	0.687610	0.628400
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.515916	0.669498	0.000000	0.000000	0.000000	0.657323	0.000000	0.597238	0.522805
1996	0.716665	0.553462	0.432594	0.525461	0.000000	0.000000	0.628603	0.000000	0.639894	0.000000
1997	0.593226	0.571444	0.000000	0.660565	0.000000	0.000000	0.652041	0.000000	0.636378	0.546381
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.561193	0.678138	0.530800	0.000000	0.000000	0.000000	0.723372	0.000000	0.000000	0.000000
2000	0.000000	0.352594	0.000000	0.445895	0.000000	0.000000	0.566241	0.000000	0.320271	0.000000
2001	0.000000	0.473886	0.000000	0.000000	0.000000	0.000000	0.601150	0.641047	0.626258	0.000000
2002	0.330905	0.307308	0.000000	0.270442	0.000000	0.444584	0.479040	0.000000	0.403167	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
