Year	scolastico	enrico gumina	saverio borrelli	carlo brusco	vittorio mele	giovanni tinebra	cordova	renato acquarone	francesco saluzzo	vigna
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.038151	0.000000	0.000000	0.000000	0.000000	0.000000	0.114531	0.000000	0.000000	0.267355
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000993	0.519206	0.000000	0.000000	0.000000	0.000000	0.462031	0.000000	0.514191	0.202002
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	-0.168948	0.734676	0.713939	0.383402	0.596990	0.664145	0.489531	0.650023	0.000000	0.113877
1993	-0.116524	0.681203	0.728951	0.240598	0.794758	0.665752	0.548009	0.640864	0.701414	0.321340
1994	-0.145744	0.718334	0.769705	0.722194	0.786985	0.718363	0.505427	0.737717	0.780942	0.300679
1995	-0.210805	0.630591	0.000000	0.563539	0.000000	0.000000	0.560238	0.499789	0.561339	0.185501
1996	-0.115605	0.821027	0.700108	0.777746	0.000000	0.787898	0.616219	0.806256	0.000000	0.396570
1997	-0.098119	0.716646	0.691071	0.666482	0.000000	0.729083	0.477123	0.758641	0.000000	0.238268
1998	0.012622	0.804139	0.856087	0.810998	0.390981	0.749376	0.640791	0.660359	0.000000	0.055800
1999	0.064186	0.000000	0.645197	0.714401	0.000000	0.687853	0.297621	0.000000	0.000000	0.046830
2000	0.225913	0.000000	0.000000	0.000000	0.000000	0.000000	0.194336	0.000000	0.000000	0.319570
2001	0.065528	0.000000	0.393862	0.000000	0.000000	0.000000	0.289815	0.000000	0.529570	-0.014987
2002	0.052546	0.000000	0.410833	0.000000	0.000000	0.000000	0.269828	0.000000	0.509058	0.058299
2003	0.049510	0.000000	0.000000	0.000000	0.000000	0.000000	0.375631	0.000000	0.000000	0.214959
2004	0.102443	0.000000	0.000000	0.000000	0.000000	0.000000	0.384133	0.000000	0.398700	0.123443
2005	-0.076237	0.000000	0.000000	0.000000	0.000000	0.000000	0.359509	0.000000	0.477171	0.135400
