Year	luigi cichero	paolo tonelli	fabio capello	marco corradi	roberto casone	bruno cavallo	franco zizzi	gigi cagni	gerardo bochicchio	giulio de ceglie
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.458353	0.000000	0.000000	0.000000	0.260428	0.000000	0.000000	0.000000	0.258401
1988	0.000000	0.053918	0.000000	0.000000	0.000000	0.276707	0.000000	0.000000	0.000000	0.406857
1989	0.000000	0.000000	0.000000	0.450023	0.000000	0.726749	0.000000	0.000000	0.000000	0.547082
1990	0.472148	0.486877	0.000000	0.563987	0.000000	0.550215	0.000000	0.000000	0.000000	0.491741
1991	0.443129	0.514107	0.520293	0.000000	0.000000	0.557672	0.000000	0.000000	0.000000	0.510273
1992	0.750550	0.742901	0.735181	0.731082	0.660963	0.591847	0.000000	0.000000	0.000000	0.649671
1993	0.165475	0.165087	0.075381	0.318024	0.000000	0.254736	0.000000	0.000000	0.000000	0.204252
1994	0.622990	0.643790	0.661533	0.000000	0.727695	0.661046	0.724154	0.721654	0.720383	0.718143
1995	0.275975	0.000000	0.252795	0.263077	0.000000	0.506336	0.000000	0.000000	0.418423	0.000000
1996	0.314602	0.000000	0.370050	0.000000	0.470732	0.478787	0.000000	0.000000	0.000000	0.316159
1997	0.180620	0.000000	0.000000	0.000000	0.189902	0.212134	0.000000	0.000000	0.000000	0.000000
1998	0.284589	0.000000	0.000000	0.000000	0.397504	0.420956	0.000000	0.414023	0.000000	0.454116
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.534125	0.000000	0.452353	0.000000	0.000000	0.000000	0.000000	0.462368	0.000000	0.355049
2002	0.288616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.321116
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
