Year	suicida	oscar bertetto	giampiero vigna	pio la torre	bara giuseppe	alberto pasta	mlslanl	fratino	pierluigi onorato	leonardi
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	-0.033444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.202375	0.000000	0.302295
1975	-0.075694	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.268269	0.000000	0.034070
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.183792	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148678	0.691218	0.176310
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.118868	0.000000	0.000000	0.400437	0.000000	0.000000	0.000000	0.326693	0.000000	0.302110
1982	0.170886	0.725894	0.000000	0.710400	0.000000	0.000000	0.000000	0.107457	0.000000	0.339786
1983	0.162610	0.000000	0.712642	0.526284	0.697862	0.000000	0.000000	0.534748	0.000000	0.307711
1984	0.277873	0.000000	0.000000	0.560719	0.000000	0.000000	0.692299	0.381214	0.000000	0.278813
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.137178	0.000000	0.246570	0.366646	0.000000	0.000000	0.000000	0.032966	0.000000	0.265804
1987	0.064605	0.000000	0.300796	0.000000	0.000000	0.000000	0.000000	0.068880	0.000000	0.250273
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.084703	0.000000	0.347030	0.000000	0.000000	0.000000	0.000000	0.188375	0.000000	0.052703
1990	0.248599	0.000000	0.000000	0.326050	0.000000	0.000000	0.000000	0.104778	0.000000	0.218876
1991	0.154209	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.164074	0.000000	0.301509
1992	0.232905	0.000000	0.000000	0.000000	0.000000	0.508945	0.000000	0.374954	0.000000	0.294664
1993	0.161103	0.000000	0.000000	0.000000	0.000000	0.696638	0.000000	0.195398	0.000000	0.424145
1994	0.107994	0.000000	0.000000	0.000000	0.000000	0.546009	0.000000	0.320575	0.000000	0.227410
1995	0.178144	0.000000	0.000000	0.000000	0.000000	0.304937	0.000000	0.071232	0.000000	0.080711
1996	0.137023	0.000000	0.000000	0.000000	0.000000	0.387786	0.000000	0.212092	0.000000	0.371040
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	-0.022368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.411597	0.000000	0.038569
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.067831	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.288826
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
