Year	giorgio pula	binacchi	giuliano ciravegna	renato balzarmi	mario bastoni	viviani	rossetti	mario pandolfi	lucio muiesan	pinna
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.000000	0.000000	0.000000	0.000000	0.000000	0.073174	0.142807	0.000000	0.000000	-0.002200
1974	0.000000	0.000000	0.000000	0.000000	0.000000	0.130210	0.153596	0.000000	0.000000	0.083816
1975	0.000000	0.000000	0.000000	0.000000	0.000000	0.210786	0.184143	0.000000	0.000000	0.221247
1976	0.000000	0.000000	0.000000	0.000000	0.000000	0.209124	0.113228	0.000000	0.000000	0.114065
1977	0.000000	0.000000	0.000000	0.000000	0.000000	0.329642	0.184940	0.000000	0.000000	0.194349
1978	0.000000	0.582957	0.597746	0.000000	0.000000	0.233514	0.221351	0.000000	0.000000	0.194797
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.226955	0.447613	0.000000	0.000000	-0.046655	0.204456	0.000000	0.000000	-0.034096
1981	0.000000	0.369951	0.494428	0.000000	0.000000	0.072234	0.161149	0.000000	0.000000	-0.093970
1982	0.000000	0.484759	0.598173	0.000000	0.000000	0.135561	0.064093	0.000000	0.000000	0.035194
1983	0.000000	0.322886	0.402373	0.000000	0.000000	0.158963	0.172786	0.000000	0.000000	0.093972
1984	0.000000	0.000000	0.771820	0.000000	0.000000	0.299405	0.155977	0.000000	0.000000	0.009543
1985	0.617568	0.248270	0.672556	0.594593	0.000000	0.235633	0.218141	0.764008	0.583880	0.097935
1986	0.797723	0.381002	0.669567	0.770537	0.766979	0.124890	0.063464	0.706974	0.763129	0.177199
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
