Year	ranalli	ardito	molineri	alasia	ferraris	vetere	chiezzi	fiorini	dolino	libertini
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.416146	0.234423	0.000000	0.161982	0.164214	0.372548	0.000000	0.028182	0.500084	0.239595
1975	0.315055	0.113962	0.348184	0.101261	0.209770	0.282872	0.364508	0.144031	0.334733	0.493181
1976	0.560758	0.212229	0.509770	0.425772	0.244773	0.450544	0.517959	0.492741	0.554200	0.552158
1977	0.346455	0.324436	0.503519	0.481461	0.287716	0.276820	0.465415	0.534495	0.582270	0.422475
1978	0.666025	0.300981	0.500852	0.384886	0.225388	0.243584	0.499394	0.256023	0.471252	0.279362
1979	0.458846	0.275657	0.383259	0.426232	0.258553	0.459107	0.498402	0.318758	0.528590	0.427833
1980	0.349634	0.277160	0.322539	0.352959	0.308631	0.312741	0.415039	0.255614	0.442482	0.253537
1981	0.452728	0.251731	0.366087	0.067068	0.184372	0.284249	0.494837	0.121190	0.231386	0.335434
1982	0.137469	0.369346	0.125927	0.023944	0.256446	0.081857	0.446196	0.066818	0.299589	0.188047
1983	0.318780	0.429386	0.348309	0.275885	0.270687	0.293846	0.420683	0.055851	0.364946	0.277115
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.248670	0.341247	0.306671	0.188880	0.221758	0.329144	0.382374	0.096300	0.222747	0.420055
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
